p,o,c,g,k,r,,,,,,,,,,,
c,g,w,p,c,f,k,s,,,,,,,,,
k,f,s,f,k,s,p,w,g,,,,,,,,
p,f,k,s,w,k,f,s,o,c,o,c,g,,,,
w,p,t,g,k,f,s,o,c,,,,,,,,
p,w,f,k,g,,,,,,,,,,,,
p,o,w,c,e,r,,,,,,,,,,,
c,o,p,r,e,r,k,,,,,,,,,,
w,o,p,o,f,k,k,s,k,f,,,,,,,
o,p,w,p,w,g,c,o,c,,,,,,,,
p,o,c,r,f,k,s,f,k,s,,,,,,,
c,g,p,o,g,p,o,c,,,,,,,,,
p,w,o,c,g,f,k,f,s,r,e,r,e,,,,
o,c,w,g,r,k,,,,,,,,,,,
w,p,g,s,f,k,,,,,,,,,,,
p,w,o,f,s,g,,,,,,,,,,,
p,o,c,p,o,c,w,g,k,f,s,,,,,,
p,o,c,g,w,g,,,,,,,,,,,
p,w,g,o,c,k,f,s,f,k,s,r,e,t,,,
o,c,p,w,g,f,k,s,k,f,s,r,e,r,e,,
c,o,p,w,g,w,p,r,e,s,k,,,,,,
p,w,t,e,r,f,k,f,,,,,,,,,
p,o,c,w,g,g,p,f,k,f,k,s,r,e,r,,
w,p,o,f,c,g,k,r,p,w,g,f,k,s,o,c,r
c,w,p,f,k,s,o,r,,,,,,,,,
p,w,f,k,s,o,r,c,,,,,,,,,
p,o,c,g,w,k,f,k,f,s,e,r,,,,,
p,o,w,c,t,g,c,o,g,,,,,,,,
p,o,w,g,c,p,o,,,,,,,,,,
p,w,f,k,t,,,,,,,,,,,,
p,w,o,k,f,k,r,g,,,,,,,,,
c,o,p,c,o,g,p,g,w,f,k,s,r,,,,
p,g,s,f,k,s,k,f,g,,,,,,,,
w,g,p,t,o,c,o,p,w,g,,,,,,,
p,o,w,c,g,r,e,,,,,,,,,,
p,e,r,k,s,c,w,g,t,f,,,,,,,
p,c,g,w,o,r,k,f,k,f,s,,,,,,
p,o,p,o,c,g,k,r,,,,,,,,,
p,w,t,g,c,f,k,f,k,s,r,,,,,,
p,o,c,w,k,f,,,,,,,,,,,
p,g,k,f,k,f,,,,,,,,,,,
c,w,o,p,g,,,,,,,,,,,,
p,o,w,c,g,k,f,k,f,r,,,,,,,
w,p,g,f,k,s,k,,,,,,,,,,
p,o,c,w,c,p,o,e,r,e,,,,,,,
p,w,k,f,,,,,,,,,,,,,
c,p,t,g,o,,,,,,,,,,,,
p,o,c,f,k,s,w,g,r,,,,,,,,
p,o,w,c,f,k,f,k,,,,,,,,,
p,w,g,f,k,s,f,k,,,,,,,,,
g,p,w,f,k,s,,,,,,,,,,,
c,g,w,p,w,,,,,,,,,,,,
c,w,o,p,g,t,r,e,k,f,k,s,k,s,f,,
p,o,c,s,f,k,w,,,,,,,,,,
o,c,p,w,g,f,k,f,,,,,,,,,
p,w,g,t,e,r,k,f,s,o,c,,,,,,
p,o,c,g,w,r,k,f,s,,,,,,,,
t,g,c,w,p,r,o,,,,,,,,,,
p,o,c,g,k,f,s,k,f,r,,,,,,,
p,g,c,o,w,,,,,,,,,,,,
o,p,w,g,,,,,,,,,,,,,
w,p,g,c,o,w,p,c,f,k,s,r,e,,,,
r,e,,,,,,,,,,,,,,,
p,t,w,g,f,k,s,,,,,,,,,,
p,o,c,r,f,k,f,k,,,,,,,,,
p,o,c,k,r,,,,,,,,,,,,
p,o,c,k,f,s,k,f,s,w,g,r,e,,,,
t,g,p,c,o,w,p,g,p,w,c,o,g,,,,
g,w,p,f,r,k,s,t,,,,,,,,,
p,f,k,f,k,s,g,,,,,,,,,,
p,w,o,g,s,f,k,g,,,,,,,,,
p,w,k,f,,,,,,,,,,,,,
g,w,p,o,c,o,s,k,f,s,f,k,,,,,
w,t,p,c,o,c,k,f,k,f,,,,,,,
w,p,g,f,k,f,k,r,e,,,,,,,,
p,o,c,o,c,w,t,r,f,k,f,k,g,,,,
p,w,o,c,f,k,s,f,k,s,r,,,,,,
p,w,g,e,r,k,s,,,,,,,,,,
p,o,c,t,f,k,f,k,r,w,g,,,,,,
p,w,f,k,s,o,c,r,,,,,,,,,
