0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
j,q,p,o,c,g,k,r,,,,,,,,,,,
j,q,c,g,w,p,c,f,k,s,,,,,,,,,
j,q,k,f,s,f,k,s,p,w,g,,,,,,,,
j,q,p,f,k,s,w,k,f,s,o,c,o,c,g,,,,
j,q,w,p,t,g,k,f,s,o,c,,,,,,,,
j,q,p,w,f,k,g,,,,,,,,,,,,
j,q,p,o,w,c,e,r,,,,,,,,,,,
j,q,c,o,p,r,e,r,k,,,,,,,,,,
j,q,w,o,p,o,f,k,k,s,k,f,,,,,,,
j,q,o,p,w,p,w,g,c,o,c,,,,,,,,
j,q,p,o,c,r,f,k,s,f,k,s,,,,,,,
j,q,c,g,p,o,g,p,o,c,,,,,,,,,
j,q,p,w,o,c,g,f,k,f,s,r,e,r,e,,,,
j,q,o,c,w,g,r,k,,,,,,,,,,,
j,q,w,p,g,s,f,k,,,,,,,,,,,
j,q,p,w,o,f,s,g,,,,,,,,,,,
j,q,p,o,c,p,o,c,w,g,k,f,s,,,,,,
j,q,p,o,c,g,w,g,,,,,,,,,,,
j,q,p,w,g,o,c,k,f,s,f,k,s,r,e,t,,,
j,q,o,c,p,w,g,f,k,s,k,f,s,r,e,r,e,,
j,q,c,o,p,w,g,w,p,r,e,s,k,,,,,,
j,q,p,w,t,e,r,f,k,f,,,,,,,,,
j,q,p,o,c,w,g,g,p,f,k,f,k,s,r,e,r,,
j,q,w,p,o,f,c,g,k,r,p,w,g,f,k,s,o,c,r
j,q,c,w,p,f,k,s,o,r,,,,,,,,,
j,q,p,w,f,k,s,o,r,c,,,,,,,,,
j,q,p,o,c,g,w,k,f,k,f,s,e,r,,,,,
j,q,p,o,w,c,t,g,c,o,g,,,,,,,,
j,q,p,o,w,g,c,p,o,,,,,,,,,,
j,q,p,w,f,k,t,,,,,,,,,,,,
j,q,p,w,o,k,f,k,r,g,,,,,,,,,
j,q,c,o,p,c,o,g,p,g,w,f,k,s,r,,,,
j,q,p,g,s,f,k,s,k,f,g,,,,,,,,
j,q,w,g,p,t,o,c,o,p,w,g,,,,,,,
j,q,p,o,w,c,g,r,e,,,,,,,,,,
j,q,p,e,r,k,s,c,w,g,t,f,,,,,,,
j,q,p,c,g,w,o,r,k,f,k,f,s,,,,,,
j,q,p,o,p,o,c,g,k,r,,,,,,,,,
j,q,p,w,t,g,c,f,k,f,k,s,r,,,,,,
j,q,p,o,c,w,k,f,,,,,,,,,,,
j,q,p,g,k,f,k,f,,,,,,,,,,,
j,q,c,w,o,p,g,,,,,,,,,,,,
j,q,p,o,w,c,g,k,f,k,f,r,,,,,,,
j,q,w,p,g,f,k,s,k,,,,,,,,,,
j,q,p,o,c,w,c,p,o,e,r,e,,,,,,,
j,q,p,w,k,f,,,,,,,,,,,,,
j,q,c,p,t,g,o,,,,,,,,,,,,
j,q,p,o,c,f,k,s,w,g,r,,,,,,,,
j,q,p,o,w,c,f,k,f,k,,,,,,,,,
j,q,p,w,g,f,k,s,f,k,,,,,,,,,
j,q,g,p,w,f,k,s,,,,,,,,,,,
j,q,c,g,w,p,w,,,,,,,,,,,,
j,q,c,w,o,p,g,t,r,e,k,f,k,s,k,s,f,,
j,q,p,o,c,s,f,k,w,,,,,,,,,,
j,q,o,c,p,w,g,f,k,f,,,,,,,,,
j,q,p,w,g,t,e,r,k,f,s,o,c,,,,,,
j,q,p,o,c,g,w,r,k,f,s,,,,,,,,
j,q,t,g,c,w,p,r,o,,,,,,,,,,
j,q,p,o,c,g,k,f,s,k,f,r,,,,,,,
j,q,p,g,c,o,w,,,,,,,,,,,,
j,q,o,p,w,g,,,,,,,,,,,,,
j,q,w,p,g,c,o,w,p,c,f,k,s,r,e,,,,
j,q,r,e,,,,,,,,,,,,,,,
j,q,p,t,w,g,f,k,s,,,,,,,,,,
j,q,p,o,c,r,f,k,f,k,,,,,,,,,
j,q,p,o,c,k,r,,,,,,,,,,,,
j,q,p,o,c,k,f,s,k,f,s,w,g,r,e,,,,
j,q,t,g,p,c,o,w,p,g,p,w,c,o,g,,,,
j,q,g,w,p,f,r,k,s,t,,,,,,,,,
j,q,p,f,k,f,k,s,g,,,,,,,,,,
j,q,p,w,o,g,s,f,k,g,,,,,,,,,
j,q,p,w,k,f,,,,,,,,,,,,,
j,q,g,w,p,o,c,o,s,k,f,s,f,k,,,,,
j,q,w,t,p,c,o,c,k,f,k,f,,,,,,,
j,q,w,p,g,f,k,f,k,r,e,,,,,,,,
j,q,p,o,c,o,c,w,t,r,f,k,f,k,g,,,,
j,q,p,w,o,c,f,k,s,f,k,s,r,,,,,,
j,q,p,w,g,e,r,k,s,,,,,,,,,,
