fitted_on_ts_all,fitted_on_all_all,ID,fitted_on_cooking_all
1.0,1.0,a1,2.0
4.0,3.0,a3,2.0
3.0,3.0,a5,3.0
8.0,8.0,a11,8.0
2.0,0.0,a13,1.0
2.0,1.0,a16,1.0
2.0,3.0,a19,2.0
3.0,1.0,a22,1.0
4.0,5.0,a26,4.0
2.0,3.0,a29,3.0
5.0,3.0,a31,3.0
1.0,1.0,a35,2.0
2.0,3.0,a37,2.0
2.0,1.0,a39,1.0
1.0,2.0,a40,1.0
1.0,1.0,a43,1.0
3.0,4.0,a45,3.0
0.0,0.0,a47,0.0
5.0,4.0,a51,5.0
4.0,4.0,a55,3.0
4.0,3.0,a56,1.0
0.0,1.0,a59,1.0
7.0,6.0,a60,6.0
9.0,10.0,a61,9.0
2.0,2.0,a69,1.0
2.0,2.0,a73,2.0
3.0,4.0,a76,4.0
5.0,7.0,a77,4.0
2.0,2.0,a80,2.0
1.0,1.0,a85,2.0
4.0,3.0,a87,3.0
6.0,5.0,a89,5.0
5.0,6.0,a93,5.0
4.0,5.0,a99,4.0
2.0,1.0,a100,1.0
4.0,2.0,a102,2.0
5.0,6.0,a106,6.0
1.0,1.0,a108,2.0
4.0,1.0,a109,2.0
0.0,0.0,a114,0.0
1.0,2.0,a116,1.0
2.0,2.0,a118,2.0
6.0,6.0,a120,6.0
1.0,2.0,a128,0.0
3.0,4.0,a131,3.0
1.0,1.0,a137,1.0
0.0,0.0,a142,0.0
2.0,1.0,a149,2.0
2.0,1.0,a152,2.0
1.0,1.0,a153,2.0
2.0,2.0,a156,1.0
3.0,1.0,a158,1.0
5.0,6.0,a161,4.0
3.0,4.0,a164,3.0
2.0,1.0,a172,1.0
4.0,2.0,a174,2.0
3.0,3.0,a177,4.0
1.0,4.0,a178,4.0
4.0,3.0,a180,3.0
2.0,3.0,a185,3.0
1.0,1.0,a187,1.0
6.0,4.0,a191,5.0
0.0,0.0,a195,0.0
2.0,2.0,a198,2.0
3.0,2.0,a201,0.0
1.0,0.0,a205,1.0
4.0,4.0,a209,4.0
10.0,9.0,a212,6.0
2.0,2.0,a215,3.0
3.0,2.0,a218,3.0
3.0,3.0,a220,2.0
1.0,1.0,a222,1.0
6.0,7.0,a223,5.0
3.0,4.0,a226,1.0
3.0,1.0,a229,1.0
5.0,5.0,a231,6.0
2.0,2.0,a233,2.0
1.0,0.0,a235,0.0
4.0,3.0,a239,5.0
1.0,1.0,a240,1.0
1.0,0.0,T1,0.0
1.0,1.0,T14,1.0
1.0,0.0,T16,0.0
2.0,1.0,T18,1.0
0.0,0.0,E01_01,0.0
3.0,2.0,E01_03,2.0
3.0,3.0,E01_05,3.0
