0,1,2,3,4,5,6,7
o,c,s,f,g,k,b,p
p,o,s,f,k,c,g,b
p,o,g,b,f,k,c,s
g,p,o,c,k,s,f,b
p,o,f,k,s,c,g,b
p,o,s,g,k,b,f,c
p,o,c,s,k,f,g,b
p,s,f,k,b,g,c,o
p,f,k,s,c,b,g,o
p,f,s,k,b,g,c,o
p,s,k,f,c,b,g,o
p,f,k,s,c,b,g,o
p,s,f,k,g,b,c,o
p,f,k,o,s,c,g,b
p,c,g,b,f,k,o,s
g,p,b,o,k,f,s,c
p,b,o,k,g,c,f,s
g,c,p,b,o,k,f,s
p,b,s,o,k,f,g,c
p,b,o,c,g,k,s,f
s,f,k,p,c,g,b,o
s,p,g,o,k,f,c,b
s,p,b,k,g,f,c,o
c,g,o,k,p,b,s,f
f,k,s,p,c,o,b,g
p,k,f,s,o,g,c,b
c,p,k,f,g,s,o,b
c,o,g,s,f,b,p,k
c,g,p,s,b,k,f,o
p,f,k,s,g,c,b,o
p,c,s,k,f,o,g,b
s,o,k,p,f,c,b,g
f,p,k,g,o,s,b,c
p,b,o,f,g,s,c,k
c,p,g,f,k,s,b,o
g,f,c,s,p,k,o,b
p,k,f,s,o,b,g,c
p,k,f,s,o,g,b,c
p,o,f,k,s,c,g,b
o,p,k,s,f,c,g,b
p,b,g,o,k,f,s,c
p,c,g,b,f,k,s,o
p,c,s,o,f,k,g,b
p,o,s,k,f,g,c,b
p,s,c,g,f,o,b,k
p,f,k,c,o,g,s,b
p,k,f,s,g,c,o,b
p,c,f,k,s,b,g,o
p,o,c,f,s,k,g,b
p,o,f,k,c,s,g,b
p,c,s,f,k,o,g,b
p,k,f,s,b,o,g,c
p,k,f,s,g,c,o,b
p,k,f,s,g,c,o,b
p,k,f,s,g,c,b,o
p,k,f,o,s,c,b,g
p,k,o,s,f,g,c,b
p,k,f,o,s,c,g,b
p,k,f,s,o,g,b,c
p,k,f,s,b,g,o,c
p,k,f,s,g,c,b,o
p,k,f,s,g,c,o,b
p,k,f,s,g,c,b,o
p,k,f,s,b,c,g,o
p,k,f,s,o,c,g,b
p,f,s,k,o,c,g,b
p,o,k,f,s,c,g,b
p,f,s,k,o,g,c,b
