V1,V2,V3,V4,V5,V6,V7,V8,V9
juice,milk,milk,juice,spoon,cereal,bowl,,
milk,juice,buttermilk,milk,juice,cereal,spoon,glass,bowl
juice,milk,spoon,glass,cereal,bowl,,,
juice,milk,spoon,glass,cereal,cereal,bowl,,
juice,milk,cereal,spoon,bowl,glass,,,
juice,milk,spoon,spoon,glass,cereal,bowl,,
milk,juice,spoon,glass,cereal,bowl,,,
juice,milk,spoon,glass,cereal,bowl,,,
juice,milk,spoon,glass,cereal,cereal,bowl,,
juice,milk,cereal,spoon,glass,bowl,,,
juice,milk,cereal,spoon,glass,bowl,,,
juice,milk,spoon,glass,cereal,bowl,,,
cereal,spoon,glass,bowl,juice,milk,,,
juice,milk,spoon,glass,cereal,bowl,,,
juice,milk,spoon,glass,cereal,bowl,,,
juice,milk,spoon,cereal,bowl,bowl,glass,,
juice,milk,spoon,cereal,glass,bowl,,,
juice,milk,spoon,glass,cereal,bowl,,,
juice,milk,spoon,glass,cereal,bowl,,,
juice,milk,cereal,spoon,glass,bowl,,,
juice,cocoa,spoon,glass,cereal,bowl,,,
juice,milk,spoon,glass,cereal,bowl,,,
juice,milk,cereal,spoon,glass,bowl,,,
juice,milk,spoon,glass,cereal,bowl,,,
juice,milk,spoon,glass,cereal,bowl,,,
buttermilk,juice,spoon,glass,cereal,bowl,,,
juice,milk,spoon,glass,cereal,bowl,,,
juice,milk,spoon,cereal,glass,bowl,,,
juice,milk,spoon,glass,cereal,bowl,,,
milk,juice,spoon,glass,cereal,bowl,,,
juice,milk,cereal,spoon,glass,bowl,,,
milk,juice,spoon,cereal,glass,bowl,,,
juice,milk,cereal,spoon,glass,bowl,,,
juice,milk,spoon,cereal,bowl,milk,glass,,
juice,milk,spoon,cereal,glass,bowl,,,
juice,milk,cereal,spoon,glass,glass,bowl,,
juice,milk,spoon,cereal,glass,bowl,,,
juice,milk,spoon,glass,cereal,bowl,,,
juice,milk,cereal,spoon,glass,bowl,,,
