,observed,x,y,z,xy,xz,yz,xyz
01_01,pms,pms,mps,smp,spm,pms,smp,mps
01_01_edit,,0,1,2,2,0,2,1
01_01_norm,,0,0.33,0.67,0.67,0,0.67,0.33
01_03,rhcse,hcrse,sehcr,rshec,hcers,shcre,rsehc,hserc
01_03_edit,,2,4,3,3,2,4,4
01_03_norm,,0.4,0.8,0.6,0.6,0.4,0.8,0.8
01_05,pbhs,hpbs,phsb,hspb,phsb,pbsh,pshb,phsb
01_05_edit,,,,,,,,
01_05_norm,,0,0,0,0,0,0,0
01_09,hscp,chps,cphs,scph,cphs,cphs,cphs,cphs
01_09_edit,,,,,,,,
01_09_norm,,0,0,0,0,0,0,0
10_01,pbs,pbs,sbp,bps,pbs,bps,sbp,pbs
10_01_edit,,,,,,,,
10_01_norm,,0,0,0,0,0,0,0
12_01,pgs,psg,psg,psg,psg,psg,psg,psg
12_01_edit,,,,,,,,
12_01_norm,,0,0,0,0,0,0,0
12_06,pnsgb,bgnsp,npbsg,bpsgn,bnpsg,bpsng,bnpsg,bnpsg
12_06_edit,,,,,,,,
12_06_norm,,0,0,0,0,0,0,0
21_01,tnsgmp,gpmnst,gtpmns,msnptg,tgnmps,nptgms,gtnmps,tmpgns
21_01_edit,,,,,,,,
21_01_norm,,0,0,0,0,0,0,0
21_03,pnys,ynps,pyns,pnsy,pyns,ypns,pyns,pyns
21_03_edit,,,,,,,,
21_03_norm,,0,0,0,0,0,0,0
21_04,nfpymbs,mpnbyfs,ynbmpfs,ybmsfnp,ysmbpnf,ynbmspf,ynbpmsf,ynbmpfs
21_04_edit,,,,,,,,
21_04_norm,,0,0,0,0,0,0,0
22_12,mcbatp,actbmp,mabtpc,pctamb,mptbac,mpatbc,mcptba,mptbca
22_12_edit,,,,,,,,
22_12_norm,,,,,,,,
22_16,pcsbaoweg,pweobacsg,oabscpegw,boaspcgew,bweoapgcs,ewabospgc,baospgcwe,oabspcgew
22_16_edit,,,,,,,,
22_16_norm,,,,,,,,
24_02,awgps,apsgw,gspaw,pasgw,gspaw,pawsg,sgpaw,sgapw
24_02_edit,,,,,,,,
24_02_norm,,,,,,,,
24_04,pc,pc,pc,pc,pc,pc,cp,pc
24_04_edit,,,,,,,,
24_04_norm,,,,,,,,
24_05,gswap,apwsg,sgapw,pasgw,sgapw,apwsg,sgapw,gsapw
24_05_edit,,,,,,,,
24_05_norm,,,,,,,,
26_11,psgct,pstcg,pgcts,tsgpc,pgcts,ctsgp,gpcts,gpcst
26_11_edit,,,,,,,,
26_11_norm,,,,,,,,
,,,,,,,,
avg. edit dist.,,,,,,,,
