,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
"c: 1.0; k: 0.0,0.1,1.1; x",0.4,0.6,0.6,0.6,0.33333333333333337,0.8,0.75,0.5,0.33333333333333337,0.16666666666666669,0.8,0.75,0.5,0.7142857142857143,0.6666666666666667,0.8888888888888888,0.8,0.0,0.6,0.8,0.16666666666666669,0.16666666666666669,0.33333333333333337,0.0
"c: 1.0; k: 0.0,0.1,1.1; y",0.8,0.4,0.4,0.4,0.6666666666666667,0.4,0.75,1.0,0.6666666666666667,0.6666666666666667,0.6,0.5,0.25,0.7142857142857143,0.8333333333333334,0.7777777777777778,0.8,0.5,0.4,0.4,0.0,0.0,0.0,0.0
"c: 1.0; k: 0.0,0.1,1.1; z",0.4,0.4,0.4,0.4,0.6666666666666667,0.8,0.75,0.75,0.6666666666666667,0.33333333333333337,0.8,0.6666666666666667,0.5,0.8571428571428572,0.6666666666666667,0.7777777777777778,0.8,0.0,1.0,0.6,0.5,0.33333333333333337,0.33333333333333337,0.33333333333333337
"c: 1.0; k: 0.0,0.1,1.1; xy",0.6,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.6666666666666667,0.5,0.75,0.75,0.0,0.33333333333333337,0.6,0.5,0.5,0.7142857142857143,0.8333333333333334,0.8888888888888888,0.8,0.0,0.5,0.6,0.0,0.0,0.0,0.0
"c: 1.0; k: 0.0,0.1,1.1; xz",0.4,0.4,0.4,0.4,0.33333333333333337,0.4,0.5,0.5,0.16666666666666669,0.33333333333333337,0.6,0.6666666666666667,0.5,0.8571428571428572,0.6666666666666667,0.7777777777777778,0.8,0.0,1.0,0.8,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337
"c: 1.0; k: 0.0,0.1,1.1; yz",0.4,0.4,0.4,0.4,0.6666666666666667,0.4,1.0,1.0,0.6666666666666667,0.33333333333333337,0.6,0.5,0.25,0.7142857142857143,0.6666666666666667,0.7777777777777778,0.8,0.5,0.4,0.6,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337
"c: 1.0; k: 0.0,0.1,1.1; xyz",0.19999999999999996,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.33333333333333337,0.4,0.75,0.75,0.0,0.33333333333333337,0.6,0.5,0.5,0.7142857142857143,0.8333333333333334,0.6666666666666667,0.8,0.0,0.4,0.6,0.0,0.0,0.0,0.0
"c: 1.1; k: 0.0,0.1,1.1; x",0.4,0.4,0.4,0.4,0.0,0.8,0.75,0.75,0.0,0.33333333333333337,0.8,0.6666666666666667,0.625,0.7142857142857143,0.8333333333333334,0.7777777777777778,0.8,0.5,0.8,0.8,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.16666666666666669
"c: 1.1; k: 0.0,0.1,1.1; y",0.4,0.4,0.4,0.4,0.6666666666666667,0.4,0.5,1.0,0.0,0.33333333333333337,0.4,0.5,0.5,0.7142857142857143,0.8333333333333334,0.8888888888888888,0.8,0.5,0.6,0.4,0.0,0.16666666666666669,0.33333333333333337,0.0
"c: 1.1; k: 0.0,0.1,1.1; z",0.4,0.4,0.4,0.4,0.33333333333333337,0.6,0.5,0.75,0.6666666666666667,0.33333333333333337,0.7,0.6666666666666667,0.5,0.8571428571428572,0.6666666666666667,0.7777777777777778,0.8,0.5,0.8,0.6,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667
"c: 1.1; k: 0.0,0.1,1.1; xy",0.19999999999999996,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.0,0.6,0.75,0.75,0.0,0.33333333333333337,0.6,0.5,0.25,0.7142857142857143,0.8333333333333334,0.8888888888888888,0.8,0.0,0.4,0.4,0.0,0.0,0.0,0.0
"c: 1.1; k: 0.0,0.1,1.1; xz",0.4,0.4,0.4,0.4,0.0,0.4,0.75,0.75,0.33333333333333337,0.33333333333333337,0.8,0.6666666666666667,0.5,0.8571428571428572,0.6666666666666667,0.7777777777777778,0.8,0.0,1.0,0.8,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337
"c: 1.1; k: 0.0,0.1,1.1; yz",0.4,0.4,0.4,0.4,0.6666666666666667,0.19999999999999996,1.0,1.0,0.0,0.33333333333333337,0.6,0.5,0.25,0.7142857142857143,0.6666666666666667,0.7777777777777778,0.8,0.5,0.4,0.6,0.33333333333333337,0.33333333333333337,0.0,0.16666666666666669
"c: 1.1; k: 0.0,0.1,1.1; xyz",0.19999999999999996,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.33333333333333337,0.4,0.75,0.75,0.0,0.33333333333333337,0.6,0.5,0.25,0.7142857142857143,0.8333333333333334,0.7777777777777778,0.8,0.0,0.6,0.6,0.0,0.0,0.0,0.0
"c: 1.2; k: 0.0,0.1,1.1; x",0.4,0.4,0.4,0.4,0.0,0.7,0.625,0.75,0.0,0.33333333333333337,0.8,0.6666666666666667,0.5,0.7142857142857143,0.6666666666666667,0.7777777777777778,0.6,0.5,0.8,0.8,0.33333333333333337,0.33333333333333337,0.0,0.33333333333333337
"c: 1.2; k: 0.0,0.1,1.1; y",0.4,0.4,0.4,0.4,0.6666666666666667,0.19999999999999996,0.75,1.0,0.6666666666666667,0.6666666666666667,0.6,0.5,0.375,0.7142857142857143,0.8333333333333334,0.8888888888888888,0.8,0.5,0.6,0.6,0.0,0.0,0.0,0.33333333333333337
"c: 1.2; k: 0.0,0.1,1.1; z",0.4,0.4,0.4,0.4,0.33333333333333337,0.6,0.5,0.75,0.33333333333333337,0.16666666666666669,0.6,0.6666666666666667,0.5,0.8571428571428572,0.6666666666666667,0.7777777777777778,0.8,0.5,0.8,0.6,0.33333333333333337,0.6666666666666667,0.6666666666666667,0.33333333333333337
