median,ID
3.0,a1
6.0,a3
6.0,a5
9.0,a11
6.0,a13
2.0,a16
4.0,a19
5.0,a22
5.0,a26
4.0,a29
7.0,a31
4.0,a35
8.0,a37
4.0,a39
3.0,a40
3.0,a43
8.0,a45
2.0,a47
12.0,a51
8.0,a55
7.0,a56
4.0,a59
11.0,a60
13.0,a61
5.0,a69
5.0,a73
9.0,a76
6.0,a77
5.0,a80
3.0,a85
3.0,a87
9.0,a89
3.0,a93
6.0,a99
4.0,a100
8.0,a102
9.0,a106
4.0,a108
7.0,a109
3.0,a114
2.0,a116
3.0,a118
5.0,a120
4.0,a128
6.0,a131
1.0,a137
3.0,a142
6.0,a149
5.0,a152
5.0,a153
4.0,a156
3.0,a158
10.0,a161
3.0,a164
4.0,a172
9.0,a174
7.0,a177
5.0,a178
5.0,a180
3.0,a185
0.0,a187
8.0,a191
0.0,a195
4.0,a198
5.0,a201
2.0,a205
8.0,a209
8.0,a212
6.0,a215
4.0,a218
4.0,a220
1.0,a222
6.0,a223
5.0,a226
4.0,a229
7.0,a231
7.0,a233
5.0,a235
4.0,a239
6.0,a240
0.5,T1
1.0,T14
0.0,T16
1.0,T18
0.0,E01_01
1.0,E01_03
1.0,E01_05
3.0,E01_09
0.0,E10_01
1.0,E12_01
2.0,E12_06
2.0,E21_01
2.0,E21_03
3.0,E21_04
5.0,E22_12
7.0,E22_16
3.0,E24_02
0.0,E24_04
2.0,E24_05
1.0,E26_11
0.0,E01_103
2.0,E01_12
1.0,E01_14
2.0,E02_128
3.0,E22_01
3.0,E22_104
3.0,E22_117
5.5,E26_104
3.0,E26_115
2.0,E35_105
7.0,h0
4.0,h1
3.0,h2
3.0,h3
5.0,h4
3.0,h5
4.0,h6
4.0,h7
4.0,h8
4.0,h9
2.0,h10
5.0,h11
4.0,h12
4.0,h13
6.0,h14
3.0,h15
4.0,h16
6.0,h17
4.0,h18
4.0,h19
5.0,h20
5.0,h21
4.0,h22
5.0,h23
4.0,h24
4.0,h25
5.0,h26
6.0,h27
3.0,h28
5.0,h29
4.0,h30
3.0,h31
3.0,h32
2.0,h33
2.0,h34
4.0,h35
3.0,h36
3.0,h37
4.0,h38
6.0,h39
5.0,h40
5.0,h41
3.0,h42
5.0,h43
3.0,h44
2.0,h45
3.0,h46
3.0,h47
2.0,h48
3.0,h49
2.0,h50
3.0,h51
5.0,h52
4.0,h53
4.0,h54
5.0,h55
5.0,h56
6.0,h57
3.0,h58
2.0,h59
4.0,h60
5.5,h61
6.0,h62
3.0,h63
6.0,h64
3.0,h65
5.0,h66
5.0,h67
1.0,v1
3.0,v2
1.0,v3
4.0,v4
2.0,v6
3.0,v7
4.0,v8
3.0,v9
