ID,sequence,coordinates,start_coordinates,length,error,strong_k,mid_k,food_k,containment
h0,ocsfgkbp,"o: (6,8);c: (4,8);s: (3,8);f: (5,8);g: (2,8);k: (7,8);b: (8,8);p: (9,8)","[8.5,6.5],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4]",8,0.785,p,0,0,0
h1,posfkcgb,"p: (6,8);o: (5,8);s: (3,8);f: (4,8);k: (7,8);c: (2,8);g: (9,8);b: (8,8)","[8.5,6.5],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4]",8,0.785,p,0,0,0
h2,pogbfkcs,"p: (2,8);o: (5,8);g: (3,8);b: (4,8);f: (6,8);k: (7,8);c: (8,8);s: (9,8)","[8.5,6.5],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4]",8,0.785,p,0,0,0
h3,gpocksfb,"g: (4,8);p: (8,8);o: (7,8);c: (6,8);k: (5,8);s: (3,8);f: (2,8);b: (9,8)","[8.5,6.5],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4]",8,0.785,p,0,0,0
h4,pofkscgb,"p: (5,8);o: (8,8);f: (7,8);k: (4,8);s: (2,8);c: (6,8);g: (9,8);b: (3,8)","[8.5,6.5],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4]",8,0.785,p,0,0,0
h5,posgkbfc,"p: (4,8);o: (3,8);s: (2,8);g: (5,8);k: (6,8);b: (7,8);f: (9,8);c: (8,8)","[5.5,6.5],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4]",8,0.785,p,0,0,0
h6,pocskfgb,"p: (3,8);o: (6,8);c: (4,8);s: (2,8);k: (5,8);f: (7,8);g: (9,8);b: (8,8)","[8.5,6.5],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4]",8,0.785,p,0,0,0
h7,psfkbgco,"p: (6,8);s: (7,8);f: (8,8);k: (3,8);b: (9,8);g: (5,8);c: (4,8);o: (2,8)","[5.5,6.5],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4]",8,0.785,p,0,0,0
h8,pfkscbgo,"p: (8,8);f: (4,8);k: (6,8);s: (7,8);c: (5,8);b: (2,8);g: (3,8);o: (9,8)","[5.5,6.5],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4]",8,0.785,p,0,0,0
h9,pfskbgco,"p: (9,8);f: (8,8);s: (6,8);k: (4,8);b: (7,8);g: (5,8);c: (2,8);o: (3,8)","[5.5,6.5],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4]",8,0.785,p,0,0,0
h10,pskfcbgo,"p: (8,8);s: (9,8);k: (7,8);f: (5,8);c: (6,8);b: (4,8);g: (3,8);o: (2,8)","[5.5,6.5],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4]",8,0.785,p,0,0,0
h11,pfkscbgo,"p: (3,8);f: (7,8);k: (4,8);s: (6,8);c: (2,8);b: (8,8);g: (9,8);o: (5,8)","[5.5,6.5],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4]",8,0.785,p,0,0,0
h12,psfkgbco,"p: (5,8);s: (8,8);f: (3,8);k: (6,8);g: (9,8);b: (4,8);c: (7,8);o: (2,8)","[5.5,6.5],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4]",8,0.785,p,0,0,0
h13,pfkoscgb,"p: (3,8);f: (2,8);k: (5,8);o: (4,8);s: (7,8);c: (8,8);g: (6,8);b: (9,8)","[5.5,6.5],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4]",8,0.785,p,0,0,0
h14,pcgbfkos,"p: (6,8);c: (9,8);g: (8,8);b: (2,8);f: (7,8);k: (3,8);o: (4,8);s: (5,8)","[5.5,6.5],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4]",8,0.785,p,0,0,0
h15,gpbokfsc,"g: (4,8);p: (8,8);b: (6,8);o: (9,8);k: (7,8);f: (5,8);s: (3,8);c: (2,8)","[5.5,6.5],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4]",8,0.785,p,0,0,0
h16,pbokgcfs,"p: (7,8);b: (5,8);o: (9,8);k: (8,8);g: (4,8);c: (2,8);f: (6,8);s: (3,8)","[5.5,6.5],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4]",8,0.785,p,0,0,0
h17,gcpbokfs,"g: (4,8);c: (9,8);p: (6,8);b: (2,8);o: (3,8);k: (8,8);f: (7,8);s: (5,8)","[5.5,6.5],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4]",8,0.785,p,0,0,0
h18,pbsokfgc,"p: (7,8);b: (3,8);s: (8,8);o: (9,8);k: (6,8);f: (4,8);g: (5,8);c: (2,8)","[5.5,6.5],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4]",8,0.785,p,0,0,0
h19,pbocgksf,"p: (5,8);b: (7,8);o: (8,8);c: (9,8);g: (4,8);k: (6,8);s: (3,8);f: (2,8)","[5.5,6.5],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4]",8,0.785,p,0,0,0
h20,sfkpcgbo,"s: (9,8);f: (7,8);k: (5,8);p: (4,8);c: (8,8);g: (6,8);b: (2,8);o: (3,8)","[5.5,6.5],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4]",8,0.785,p,0,0,0
h21,spgokfcb,"s: (5,8);p: (4,8);g: (2,8);o: (3,8);k: (6,8);f: (9,8);c: (8,8);b: (7,8)","[5.5,6.5],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4]",8,0.785,p,0,0,0
h22,spbkgfco,"s: (5,8);p: (4,8);b: (9,8);k: (3,8);g: (6,8);f: (7,8);c: (2,8);o: (8,8)","[5.5,6.5],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4]",8,0.785,p,0,0,0
h23,cgokpbsf,"c: (2,8);g: (4,8);o: (3,8);k: (8,8);p: (6,8);b: (9,8);s: (5,8);f: (7,8)","[5.5,6.5],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4]",8,0.785,p,0,0,0
h24,fkspcobg,"f: (9,8);k: (5,8);s: (2,8);p: (4,8);c: (3,8);o: (6,8);b: (7,8);g: (8,8)","[5.5,6.5],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4]",8,0.785,p,0,0,0
h25,pkfsogcb,"p: (6,8);k: (4,8);f: (8,8);s: (7,8);o: (9,8);g: (5,8);c: (3,8);b: (2,8)","[5.5,6.5],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4]",8,0.785,p,0,0,0
h26,cpkfgsob,"c: (2,8);p: (5,8);k: (4,8);f: (7,8);g: (6,8);s: (8,8);o: (9,8);b: (3,8)","[5.5,6.5],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4]",8,0.785,p,0,0,0
h27,cogsfbpk,"c: (2,8);o: (3,8);g: (4,8);s: (5,8);f: (6,8);b: (7,8);p: (8,8);k: (9,8)","[5.5,6.5],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4]",8,0.785,p,0,0,0
h28,cgpsbkfo,"c: (9,8);g: (8,8);p: (7,8);s: (6,8);b: (5,8);k: (4,8);f: (3,8);o: (2,8)","[5.5,6.5],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4]",8,0.785,p,0,0,0
h29,pfksgcbo,"p: (3,8);f: (7,8);k: (8,8);s: (4,8);g: (5,8);c: (9,8);b: (6,8);o: (2,8)","[5.5,6.5],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4]",8,0.785,p,0,0,0
h30,pcskfogb,"p: (5,8);c: (8,8);s: (4,8);k: (6,8);f: (7,8);o: (2,8);g: (9,8);b: (3,8)","[5.5,6.5],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4]",8,0.785,p,0,0,0
h31,sokpfcbg,"s: (9,8);o: (8,8);k: (7,8);p: (6,8);f: (5,8);c: (4,8);b: (3,8);g: (2,8)","[5.5,6.5],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4]",8,0.785,p,0,0,0
h32,fpkgosbc,"f: (9,8);p: (8,8);k: (7,8);g: (6,8);o: (5,8);s: (4,8);b: (3,8);c: (2,8)","[5.5,6.5],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4]",8,0.785,p,0,0,0
h33,pbofgsck,"p: (9,8);b: (8,8);o: (7,8);f: (6,8);g: (5,8);s: (4,8);c: (3,8);k: (2,8)","[5.5,6.5],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4]",8,0.785,p,0,0,0
h34,cpgfksbo,"c: (9,8);p: (8,8);g: (7,8);f: (6,8);k: (5,8);s: (4,8);b: (3,8);o: (2,8)","[5.5,6.5],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4]",8,0.785,p,0,0,0
h35,gfcspkob,"g: (9,8);f: (8,8);c: (7,8);s: (6,8);p: (5,8);k: (4,8);o: (3,8);b: (2,8)","[5.5,6.5],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4]",8,0.785,p,0,0,0
h36,pkfsobgc,"p: (5,8);k: (7,8);f: (3,8);s: (6,8);o: (2,8);b: (4,8);g: (8,8);c: (9,8)","[5.5,6.5],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4]",8,0.785,p,0,0,0
h37,pkfsogbc,"p: (2,8);k: (3,8);f: (5,8);s: (6,8);o: (4,8);g: (7,8);b: (9,8);c: (8,8)","[5.5,6.5],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4]",8,0.785,p,0,0,0
h38,pofkscgb,"p: (5,8);o: (2,8);f: (7,8);k: (3,8);s: (4,8);c: (6,8);g: (8,8);b: (9,8)","[5.5,6.5],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4]",8,0.785,p,0,0,0
h39,opksfcgb,"o: (2,8);p: (9,8);k: (3,8);s: (4,8);f: (8,8);c: (5,8);g: (7,8);b: (6,8)","[8.5,6.5],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4]",8,0.785,p,0,0,0
h40,pbgokfsc,"p: (5,8);b: (8,8);g: (2,8);o: (3,8);k: (4,8);f: (7,8);s: (6,8);c: (9,8)","[5.5,6.5],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4]",8,0.785,p,0,0,0
h41,pcgbfkso,"p: (3,8);c: (4,8);g: (2,8);b: (6,8);f: (7,8);k: (9,8);s: (5,8);o: (8,8)","[8.5,6.5],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4]",8,0.785,p,0,0,0
h42,pcsofkgb,"p: (4,8);c: (2,8);s: (3,8);o: (5,8);f: (6,8);k: (7,8);g: (8,8);b: (9,8)","[8.5,6.5],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4]",8,0.785,p,0,0,0
h43,poskfgcb,"p: (2,8);o: (4,8);s: (3,8);k: (5,8);f: (8,8);g: (6,8);c: (7,8);b: (9,8)","[8.5,6.5],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4]",8,0.785,p,0,0,0
