,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,mean
"c: 1.2; k: 0.0,0.1; x",0.875,0.625,0.75,0.875,0.75,0.875,0.875,0.625,0.625,0.75,0.75,0.75,0.75,0.625,0.875,0.75,0.875,0.875,0.9375,0.75,0.75,0.75,0.75,0.75,0.875,0.75,0.625,0.875,0.75,0.75,0.75,0.75,0.75,0.75,0.6875,0.75,0.75,0.75,0.75,1.0,0.875,0.875,0.75,0.875,0.75,0.625,0.5,0.75,0.625,0.625,0.5,0.75,0.875,0.75,0.625,0.75,0.875,0.875,0.625,0.375,0.625,0.875,0.625,0.75,0.625,0.75,0.875,0.75,0.75
"c: 1.2; k: 0.0,0.1; y",0.875,0.625,0.625,0.75,0.625,0.625,0.75,0.625,0.625,0.625,0.625,0.625,0.625,0.75,0.625,0.75,0.625,0.75,0.625,0.75,0.875,0.75,0.75,0.875,0.875,0.625,0.75,0.875,0.8125,0.625,0.625,0.875,0.75,0.625,0.75,0.875,0.75,0.625,0.625,0.75,0.625,0.625,0.75,0.75,0.625,0.625,0.625,0.625,0.6875,0.75,0.625,0.75,0.625,0.75,0.75,0.625,0.625,0.625,0.625,0.625,0.625,0.75,0.75,0.625,0.625,0.625,0.625,0.75,0.6948529411764706
"c: 1.2; k: 0.0,0.1; xy",0.875,0.625,0.75,0.875,0.875,0.875,0.75,0.625,0.625,0.75,0.75,0.75,0.75,0.625,0.875,0.75,0.875,0.75,1.0,0.75,0.75,0.75,0.625,0.75,0.75,0.625,0.5,0.875,0.75,0.75,0.75,0.875,0.75,0.75,0.625,0.75,0.75,0.75,0.75,1.0,0.875,0.875,0.75,0.875,0.75,0.625,0.625,0.75,0.625,0.625,0.5,0.625,0.875,0.75,0.625,0.75,0.75,0.75,0.625,0.375,0.625,0.875,0.625,0.75,0.625,0.75,0.875,0.75,0.7389705882352942
"c: 1.2; k: 0.1,0.2; x",0.875,0.625,0.75,0.875,0.75,0.875,0.75,0.625,0.625,0.75,0.75,0.625,0.75,0.625,0.875,0.75,0.875,0.875,0.875,0.75,0.75,0.75,0.75,0.75,0.8125,0.625,0.5,0.875,0.75,0.75,0.75,0.75,0.75,0.75,0.625,0.75,0.75,0.75,0.625,1.0,0.875,0.875,0.75,0.875,0.75,0.625,0.625,0.75,0.625,0.625,0.5,0.625,0.875,0.75,0.625,0.75,0.875,0.875,0.625,0.375,0.625,0.875,0.625,0.75,0.625,0.75,0.875,0.75,0.7380514705882353
"c: 1.2; k: 0.1,0.2; y",0.8125,0.75,0.625,0.75,0.625,0.75,0.625,0.625,0.6875,0.625,0.75,0.75,0.625,0.625,0.625,0.75,0.625,0.875,0.625,0.6875,0.875,0.75,0.75,0.875,0.875,0.6875,0.75,0.875,0.875,0.625,0.75,0.875,0.75,0.625,0.75,0.875,0.625,0.625,0.75,0.75,0.75,0.625,0.75,0.625,0.625,0.625,0.6875,0.625,0.625,0.625,0.625,0.625,0.625,0.75,0.75,0.625,0.75,0.75,0.625,0.625,0.625,0.75,0.75,0.625,0.625,0.625,0.75,0.625,0.703125
"c: 1.2; k: 0.1,0.2; xy",0.875,0.625,0.75,0.75,0.875,0.875,0.75,0.625,0.625,0.75,0.75,0.75,0.75,0.625,0.875,0.75,0.875,0.75,1.0,0.75,0.75,0.75,0.75,0.75,0.875,0.6875,0.5,0.875,0.75,0.75,0.75,0.75,0.75,0.75,0.625,0.75,0.75,0.75,0.625,1.0,0.875,0.875,0.75,0.875,0.75,0.625,0.625,0.75,0.5,0.625,0.5,0.625,0.875,0.75,0.625,0.75,0.75,0.75,0.625,0.375,0.625,0.875,0.625,0.75,0.625,0.75,0.875,0.75,0.7362132352941176
"c: 1.2; k: 0.2,0.3; x",0.875,0.625,0.75,0.75,0.875,0.875,0.75,0.625,0.625,0.75,0.75,0.625,0.875,0.625,0.875,0.625,0.875,0.75,1.0,0.75,0.75,0.75,0.75,0.75,0.875,0.6875,0.5,0.875,0.75,0.75,0.75,0.75,0.75,0.75,0.625,0.75,0.75,0.75,0.75,1.0,0.875,0.875,0.75,0.875,0.75,0.625,0.625,0.75,0.5,0.625,0.5,0.75,0.875,0.75,0.625,0.75,0.8125,0.875,0.625,0.375,0.625,0.875,0.625,0.75,0.625,0.75,0.875,0.75,0.7408088235294118
"c: 1.2; k: 0.2,0.3; y",0.75,0.625,0.625,0.75,0.75,0.625,0.75,0.75,0.6875,0.625,0.625,0.75,0.625,0.75,0.625,0.75,0.625,0.8125,0.625,0.625,0.75,0.75,0.75,0.875,0.75,0.625,0.75,0.875,0.875,0.625,0.625,0.875,0.75,0.625,0.75,0.875,0.625,0.625,0.75,0.75,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.75,0.625,0.75,0.6875,0.6875,0.625,0.75,0.625,0.75,0.625,0.75,0.75,0.625,0.75,0.625,0.625,0.75,0.75,0.625,0.625,0.75,0.6985294117647058
"c: 1.2; k: 0.2,0.3; xy",0.875,0.625,0.75,0.875,0.75,0.875,0.875,0.625,0.625,0.75,0.75,0.75,0.875,0.625,0.875,0.625,0.875,0.75,0.875,0.75,0.75,0.75,0.75,0.75,0.875,0.75,0.625,0.875,0.75,0.75,0.75,0.875,0.75,0.75,0.625,0.75,0.75,0.75,0.75,1.0,0.875,0.875,0.75,0.875,0.75,0.625,0.625,0.75,0.5,0.625,0.5,0.625,0.875,0.75,0.625,0.75,0.875,0.75,0.625,0.375,0.625,0.875,0.625,0.75,0.625,0.75,0.875,0.75,0.7444852941176471
"c: 1.2; k: 0.3,0.4; x",0.875,0.625,0.75,0.75,0.875,0.875,0.75,0.625,0.75,0.75,0.75,0.75,0.875,0.625,0.875,0.75,0.875,0.875,1.0,0.75,0.75,0.75,0.75,0.75,0.875,0.75,0.5625,0.875,0.75,0.75,0.75,0.875,0.75,0.75,0.625,0.75,0.75,0.75,0.75,1.0,0.875,0.875,0.75,0.875,0.75,0.625,0.5,0.75,0.625,0.625,0.5,0.75,0.875,0.75,0.625,0.75,0.875,0.875,0.625,0.375,0.625,0.875,0.625,0.75,0.625,0.75,0.875,0.75,0.7527573529411765
"c: 1.2; k: 0.3,0.4; y",0.75,0.625,0.625,0.75,0.625,0.625,0.625,0.625,0.6875,0.75,0.625,0.625,0.75,0.6875,0.625,0.75,0.75,0.8125,0.625,0.625,0.875,0.75,0.75,0.875,0.875,0.625,0.75,0.875,0.75,0.625,0.75,0.875,0.75,0.75,0.75,0.875,0.75,0.625,0.625,0.75,0.625,0.75,0.625,0.625,0.625,0.625,0.75,0.75,0.625,0.625,0.625,0.625,0.75,0.75,0.75,0.75,0.625,0.625,0.75,0.625,0.625,0.625,0.625,0.625,0.75,0.625,0.625,0.625,0.6976102941176471
"c: 1.2; k: 0.3,0.4; xy",0.875,0.625,0.75,0.875,0.8125,0.875,0.875,0.625,0.625,0.75,0.75,0.625,0.875,0.625,0.875,0.625,0.875,0.75,0.875,0.75,0.75,0.75,0.75,0.75,0.8125,0.625,0.5,0.875,0.75,0.75,0.75,0.875,0.75,0.75,0.625,0.75,0.75,0.75,0.75,1.0,0.875,0.875,0.75,0.875,0.75,0.625,0.625,0.75,0.5625,0.625,0.5,0.75,0.875,0.75,0.625,0.75,0.75,0.75,0.625,0.375,0.625,0.875,0.625,0.75,0.625,0.75,0.875,0.75,0.7398897058823529
"c: 1.2; k: 0.4,0.5; x",0.875,0.625,0.75,0.75,0.875,0.875,0.875,0.625,0.6875,0.75,0.75,0.75,0.875,0.625,0.875,0.75,0.875,0.875,1.0,0.75,0.75,0.75,0.6875,0.75,0.75,0.625,0.5,0.875,0.75,0.75,0.75,0.75,0.625,0.75,0.6875,0.75,0.75,0.75,0.625,0.875,0.875,0.875,0.75,1.0,0.75,0.625,0.5625,0.75,0.625,0.625,0.5,0.75,0.875,0.75,0.625,0.75,0.875,0.75,0.5,0.375,0.625,0.75,0.625,0.75,0.625,0.875,0.875,0.75,0.7408088235294118
"c: 1.2; k: 0.4,0.5; y",0.75,0.625,0.75,0.75,0.625,0.75,0.625,0.625,0.625,0.625,0.625,0.625,0.75,0.75,0.75,0.75,0.625,0.75,0.625,0.625,0.875,0.75,0.75,0.875,0.875,0.75,0.75,0.875,0.8125,0.6875,0.625,0.875,0.75,0.625,0.75,0.875,0.75,0.75,0.625,0.75,0.75,0.625,0.625,0.75,0.625,0.75,0.625,0.625,0.75,0.625,0.625,0.75,0.75,0.625,0.625,0.625,0.75,0.75,0.75,0.625,0.625,0.75,0.625,0.625,0.75,0.75,0.625,0.75,0.7077205882352942
"c: 1.2; k: 0.4,0.5; xy",0.875,0.625,0.75,0.75,0.75,0.875,0.875,0.75,0.625,0.75,0.75,0.75,0.75,0.625,0.875,0.625,0.875,0.75,0.875,0.75,0.75,0.75,0.75,0.75,0.75,0.625,0.5,0.875,0.75,0.75,0.75,0.875,0.75,0.75,0.625,0.75,0.75,0.75,0.75,0.9375,0.875,0.875,0.75,0.9375,0.75,0.625,0.625,0.75,0.625,0.625,0.5,0.625,0.875,0.75,0.625,0.875,0.875,0.8125,0.5,0.375,0.625,0.75,0.625,0.75,0.625,0.875,0.875,0.75,0.7398897058823529
"c: 1.2; k: 0.5,0.6; x",0.875,0.625,0.75,0.875,0.75,0.875,0.75,0.75,0.625,0.75,0.75,0.625,0.75,0.625,0.875,0.75,0.875,0.875,1.0,0.75,0.75,0.75,0.625,0.75,0.875,0.625,0.5,0.75,0.75,0.875,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.875,0.875,0.875,0.75,1.0,0.75,0.625,0.5,0.75,0.5,0.625,0.5,0.75,0.875,0.75,0.625,0.8125,0.875,0.875,0.5625,0.375,0.625,0.75,0.625,0.625,0.625,0.875,0.875,0.75,0.7408088235294118
