simulation,trial,start_time,end_time,duration,duration_seconds,type,sequence
1,0,02:20:17 PM,02:26:15 PM,00:05:58,358,opm,"bowl, breakfast-cereal, cup, spoon, milk"
1,1,02:26:17 PM,02:31:24 PM,00:05:07,307,opm,"bowl, breakfast-cereal, cup, spoon, milk"
1,2,02:31:26 PM,02:36:32 PM,00:05:06,306,opm,"bowl, breakfast-cereal, cup, spoon, milk"
1,3,02:36:36 PM,02:41:44 PM,00:05:08,308,opm,"bowl, breakfast-cereal, cup, spoon, milk"
1,4,02:41:47 PM,02:46:15 PM,00:04:28,268,opm,"bowl, breakfast-cereal, cup, spoon, milk"
1,5,02:46:16 PM,02:51:52 PM,00:05:36,336,opm,"bowl, breakfast-cereal, cup, spoon, milk"
1,6,02:51:56 PM,02:57:58 PM,00:06:02,362,opm,"bowl, breakfast-cereal, cup, spoon, milk"
1,7,10:14:11 AM,10:19:35 AM,00:05:24,324,opm,"bowl, breakfast-cereal, cup, spoon, milk"
1,8,10:19:39 AM,10:25:09 AM,00:05:30,330,opm,"bowl, breakfast-cereal, cup, spoon, milk"
1,9,10:28:45 AM,10:34:32 AM,00:05:47,347,opm,"bowl, breakfast-cereal, cup, spoon, milk"
1,0,09:23:50 AM,09:30:32 AM,00:06:42,402,baseline,"breakfast-cereal, cup, bowl, spoon, milk"
1,1,09:30:34 AM,09:36:43 AM,00:06:09,369,baseline,"breakfast-cereal, cup, bowl, spoon, milk"
1,2,09:36:45 AM,09:42:56 AM,00:06:11,371,baseline,"breakfast-cereal, cup, bowl, spoon, milk"
1,3,09:42:58 AM,09:48:52 AM,00:05:54,354,baseline,"breakfast-cereal, cup, bowl, spoon, milk"
1,4,09:48:54 AM,09:54:20 AM,00:05:26,326,baseline,"breakfast-cereal, cup, bowl, spoon, milk"
1,5,09:54:22 AM,09:59:58 AM,00:05:36,336,baseline,"breakfast-cereal, cup, bowl, spoon, milk"
1,6,10:00:00 AM,10:07:02 AM,00:07:02,422,baseline,"breakfast-cereal, cup, bowl, spoon, milk"
1,7,10:07:03 AM,10:12:55 AM,00:05:52,352,baseline,"breakfast-cereal, cup, bowl, spoon, milk"
1,8,10:12:56 AM,10:18:52 AM,00:05:56,356,baseline,"breakfast-cereal, cup, bowl, spoon, milk"
1,9,10:18:54 AM,10:25:08 AM,00:06:14,374,baseline,"breakfast-cereal, cup, bowl, spoon, milk"
2,0,10:55:24 AM,11:00:44 AM,00:05:20,320,opm,"bowl, cup, milk, breakfast-cereal, spoon"
2,1,11:00:46 AM,11:06:06 AM,00:05:20,320,opm,"bowl, cup, milk, breakfast-cereal, spoon"
2,2,11:06:08 AM,11:11:40 AM,00:05:20,320,opm,"bowl, cup, milk, breakfast-cereal, spoon"
2,3,11:11:41 AM,11:17:01 AM,00:05:32,332,opm,"bowl, cup, milk, breakfast-cereal, spoon"
2,4,11:17:03 AM,11:23:00 AM,00:05:20,320,opm,"bowl, cup, milk, breakfast-cereal, spoon"
2,5,11:23:01 AM,11:29:09 AM,00:05:57,357,opm,"bowl, cup, milk, breakfast-cereal, spoon"
2,6,11:29:11 AM,11:34:57 AM,00:06:08,368,opm,"bowl, cup, milk, breakfast-cereal, spoon"
