simulation,trial,start_time,end_time,duration,duration_no_distance,sequence,type,duration_seconds,diff
1,0,14:37:35,14:37:47,00:00:12,12,"bowl, milk, cup, spoon, breakfast-cereal",opm,31.57,19.57
1,1,14:37:50,14:38:01,00:00:11,11,"bowl, milk, cup, spoon, breakfast-cereal",opm,30.57,19.57
1,2,14:38:04,14:38:16,00:00:12,12,"bowl, milk, cup, spoon, breakfast-cereal",opm,31.57,19.57
1,3,14:38:19,14:38:31,00:00:12,12,"bowl, milk, cup, spoon, breakfast-cereal",opm,31.57,19.57
1,4,14:38:33,14:38:46,00:00:13,13,"bowl, milk, cup, spoon, breakfast-cereal",opm,32.57,19.57
1,5,14:38:49,14:39:07,00:00:18,18,"bowl, milk, cup, spoon, breakfast-cereal",opm,37.57,19.57
1,6,14:39:11,14:39:27,00:00:16,16,"bowl, milk, cup, spoon, breakfast-cereal",opm,35.57,19.57
1,7,14:39:30,14:39:48,00:00:18,18,"bowl, milk, cup, spoon, breakfast-cereal",opm,37.57,19.57
1,8,14:39:51,14:40:10,00:00:19,19,"bowl, milk, cup, spoon, breakfast-cereal",opm,38.57,19.57
1,9,14:40:13,14:40:35,00:00:22,22,"bowl, milk, cup, spoon, breakfast-cereal",opm,41.57,19.57
1,0,14:40:38,14:40:59,00:00:21,21,"breakfast-cereal, cup, bowl, spoon, milk",baseline,39.17,18.17
1,1,14:41:02,14:41:24,00:00:22,22,"breakfast-cereal, cup, bowl, spoon, milk",baseline,40.17,18.17
1,2,14:41:26,14:41:49,00:00:23,23,"breakfast-cereal, cup, bowl, spoon, milk",baseline,41.17,18.17
1,3,14:41:52,14:42:14,00:00:22,22,"breakfast-cereal, cup, bowl, spoon, milk",baseline,40.17,18.17
1,4,14:42:17,14:42:39,00:00:22,22,"breakfast-cereal, cup, bowl, spoon, milk",baseline,40.17,18.17
1,5,14:42:42,14:43:03,00:00:21,21,"breakfast-cereal, cup, bowl, spoon, milk",baseline,39.17,18.17
1,6,14:43:06,14:43:28,00:00:22,22,"breakfast-cereal, cup, bowl, spoon, milk",baseline,40.17,18.17
1,7,14:43:31,14:43:53,00:00:22,22,"breakfast-cereal, cup, bowl, spoon, milk",baseline,40.17,18.17
1,8,14:43:56,14:44:18,00:00:22,22,"breakfast-cereal, cup, bowl, spoon, milk",baseline,40.17,18.17
1,9,14:44:21,14:44:44,00:00:23,23,"breakfast-cereal, cup, bowl, spoon, milk",baseline,41.17,18.17
2,0,14:44:48,14:45:10,00:00:22,22,"bowl, milk, cup, spoon, breakfast-cereal",opm,42.29,20.29
2,1,14:45:13,14:45:36,00:00:23,23,"bowl, milk, cup, spoon, breakfast-cereal",opm,43.29,20.29
2,2,14:45:39,14:46:01,00:00:22,22,"bowl, milk, cup, spoon, breakfast-cereal",opm,42.29,20.29
2,3,14:46:04,14:46:27,00:00:23,23,"bowl, milk, cup, spoon, breakfast-cereal",opm,43.29,20.29
2,4,14:46:30,14:46:53,00:00:23,23,"bowl, milk, cup, spoon, breakfast-cereal",opm,43.29,20.29
2,5,14:46:56,14:47:19,00:00:23,23,"bowl, milk, cup, spoon, breakfast-cereal",opm,43.29,20.29
2,6,14:47:22,14:47:44,00:00:22,22,"bowl, milk, cup, spoon, breakfast-cereal",opm,42.29,20.29
2,7,14:47:47,14:48:07,00:00:20,20,"bowl, milk, cup, spoon, breakfast-cereal",opm,40.29,20.29
