uid,participant_id,video_id,narration,start_timestamp,stop_timestamp,start_frame,stop_frame,verb,verb_class,noun,noun_class,all_nouns,all_noun_classes,grid_location,prior_grid ,lhand_vposition ,lhand_hposition ,rhand_vposition ,rhand_hposition ,hand in use ,
0,P01,P01_01,open door,00:00.1,00:03.4,8,202,open,2,door,8,['door'],[8],,,,,,,,
1,P01,P01_01,turn on light,00:04.4,00:06.2,262,370,turn-on,12,light,113,['light'],[113],,,,,,,,
2,P01,P01_01,close door,00:07.0,00:09.5,418,569,close,3,door,8,['door'],[8],,,,,,,,
3,P01,P01_01,open fridge,00:12.8,00:14.0,766,839,open,2,fridge,10,['fridge'],[10],,,,,,,,
4,P01,P01_01,take celery,00:15.2,00:16.4,915,983,take,0,celery,185,['celery'],[185],"(0,3)","(0,0)",0,0,0,0,right,
5,P01,P01_01,take container,00:16.5,00:18.1,990,1083,take,0,container,29,['container'],[29],,,,,,,,
6,P01,P01_01,take tofu,00:18.2,00:21.1,1091,1268,take,0,tofu,159,['tofu'],[159],"(0,3)","(0,0)",0,0,0,0,right,
7,P01,P01_01,close fridge,00:21.9,00:23.3,1314,1399,close,3,fridge,10,['fridge'],[10],,,,,,,,
8,P01,P01_01,open fridge,00:23.2,00:24.3,1390,1457,open,2,fridge,10,['fridge'],[10],,,,,,,,
9,P01,P01_01,take carrots and,00:24.5,00:27.9,1468,1676,take,0,carrot,40,['carrot'],[40],"(0,3)","(0,0)",0,0,1,0,right,
10,P01,P01_01,open drawer,00:25.0,00:26.2,1498,1572,open,2,drawer,9,['drawer'],[9],,,,,,,,
11,P01,P01_01,close fridge,00:29.2,00:31.3,1753,1879,close,3,fridge,10,['fridge'],[10],,,,,,,,
12,P01,P01_01,put down vegetables,00:36.7,00:37.8,2200,2266,put-down,1,vegetable,90,['vegetable'],[90],,,,,,,,
13,P01,P01_01,open cupboard,00:41.8,00:42.5,2507,2553,open,2,cupboard,8,['cupboard'],[8],,,,,,,,
14,P01,P01_01,take cutting board,00:43.2,00:46.6,2592,2798,take,0,board:cutting,19,['board:cutting'],[19],"(5,1)","(0,3)",0,0,0,0,both,
15,P01,P01_01,put down cutting board,00:46.5,00:47.8,2787,2868,put-down,1,board:cutting,19,['board:cutting'],[19],,,,,,,,
16,P01,P01_01,close cupboard,00:47.7,00:48.8,2865,2925,close,3,cupboard,8,['cupboard'],[8],,,,,,,,
17,P01,P01_01,open drawer,00:51.7,00:53.0,3099,3180,open,2,drawer,9,['drawer'],[9],,,,,,,,
18,P01,P01_01,take knife,00:53.5,00:56.0,3210,3360,take,0,knife,5,['knife'],[5],"(3,1)","(5,1)",1,0,1,0,right,
19,P01,P01_01,take knife,00:53.5,00:54.4,3213,3261,take,0,knife,5,['knife'],[5],"(3,1)","(3,1)",1,0,1,0,right,
20,P01,P01_01,put down knife,00:54.7,00:55.7,3283,3344,put-down,1,knife,5,['knife'],[5],,,,,,,,
21,P01,P01_01,close drawer,00:56.1,00:56.6,3366,3396,close,3,drawer,9,['drawer'],[9],,,,,,,,
22,P01,P01_01,put down knife,00:57.5,00:58.7,3447,3522,put-down,1,knife,5,['knife'],[5],,,,,,,,
23,P01,P01_01,open tap,00:59.1,01:02.3,3543,3738,open,2,tap,3,['tap'],[3],,,,,,,,
24,P01,P01_01,wash courgette,01:01.9,01:05.2,3711,3913,wash,4,courgette,69,['courgette'],[69],"(5,1)","(3,1)",0,0,0,0,both,
25,P01,P01_01,still washing courgette,01:05.2,01:13.1,3912,4387,wash,4,courgette,69,['courgette'],[69],"(5,1)","(5,1)",0,0,0,0,both,
26,P01,P01_01,wash carrot,01:14.3,01:18.9,4457,4733,wash,4,carrot,40,['carrot'],[40],"(5,1)","(5,1)",0,0,0,0,both,
27,P01,P01_01,still washing carrot,01:19.0,01:22.8,4739,4967,wash,4,carrot,40,['carrot'],[40],"(5,1)","(5,1)",0,0,0,0,both,
28,P01,P01_01,close tap,01:22.2,01:23.2,4931,4991,close,3,tap,3,['tap'],[3],,,,,,,,
29,P01,P01_01,put down vegetables,01:25.5,01:26.5,5129,5189,put-down,1,vegetable,90,['vegetable'],[90],,,,,,,,
30,P01,P01_01,open cupboard,01:27.4,01:28.3,5245,5297,open,2,cupboard,8,['cupboard'],[8],,,,,,,,
31,P01,P01_01,take grater,01:32.5,01:34.1,5551,5645,take,0,grater,131,['grater'],[131],"(5,1)","(5,1)",0,0,0,0,both,
32,P01,P01_01,take pan,01:35.3,01:39.6,5716,5973,take,0,pan,1,['pan'],[1],"(5,1)","(5,1)",0,0,0,0,both,
33,P01,P01_01,put down pan,01:40.7,01:42.3,6044,6135,put-down,1,pan,1,['pan'],[1],,,,,,,,
34,P01,P01_01,close cupboard,01:41.7,01:42.4,6099,6144,close,3,cupboard,8,['cupboard'],[8],,,,,,,,
35,P01,P01_01,close cupboard,01:43.0,01:43.8,6181,6226,close,3,cupboard,8,['cupboard'],[8],,,,,,,,
36,P01,P01_01,take courgette,01:44.1,01:45.2,6246,6313,take,0,courgette,69,['courgette'],[69],,,,,,,,
37,P01,P01_01,cut courgette,01:45.7,02:02.0,6341,7321,cut,5,courgette,69,['courgette'],[69],"(5,1)","(5,1)",0,0,0,0,both,
38,P01,P01_01,turn on hob,02:02.1,02:07.0,7327,7618,turn-on,12,hob,47,['hob'],[47],"(4,1)","(5,1)",0,7,0,0,left,
39,P01,P01_01,cut courgette,02:07.8,02:24.9,7668,8693,cut,5,courgette,69,['courgette'],[69],"(5,1)","(4,1)",0,0,0,0,both,
40,P01,P01_01,still cutting courgette,02:11.0,02:25.8,7859,8747,cut,5,courgette,69,['courgette'],[69],"(5,1)","(4,1)",0,0,0,0,both,
41,P01,P01_01,dicing courgette,02:30.5,02:45.7,9031,9939,dice,5,courgette,69,['courgette'],[69],"(5,1)","(4,1)",0,0,0,0,both,
42,P01,P01_01,still dicing courgette,02:45.8,03:00.3,9945,10816,dice,5,courgette,69,['courgette'],[69],"(5,1)","(4,1)",0,0,0,0,both,
43,P01,P01_01,still dicing courgette,03:00.4,03:13.9,10822,11634,dice,5,courgette,69,['courgette'],[69],"(5,1)","(4,1)",0,0,0,0,both,
44,P01,P01_01,still dicing courgette,03:59.0,04:08.8,14342,14928,dice,5,courgette,69,['courgette'],[69],"(5,1)","(4,1)",0,0,0,0,both,
45,P01,P01_01,pour courgette onto pan,04:10.1,04:17.9,15003,15472,pour,7,courgette,69,"['courgette', 'pan']","[69, 1]","(4,1)","(5,1)",0,0,0,0,both,
46,P01,P01_01,throw courgette into rubbish bin,04:21.7,04:24.6,15701,15878,throw,8,courgette,69,"['courgette', 'bin:rubbish']","[69, 25]",,,,,,,,
47,P01,P01_01,open drawer,04:25.1,04:26.4,15903,15986,open,2,drawer,9,['drawer'],[9],,,,,,,,
48,P01,P01_01,close drawer,04:28.6,04:29.2,16114,16154,close,3,drawer,9,['drawer'],[9],,,,,,,,
49,P01,P01_01,take spatula,04:30.4,04:32.2,16225,16329,take,0,spatula,22,['spatula'],[22],,,,,,,,
50,P01,P01_01,stir courgette,04:32.1,04:37.9,16324,16671,stir,6,courgette,69,['courgette'],[69],"(4,1)",,0,0,0,0,both,
51,P01,P01_01,take salt,04:39.6,04:41.3,16776,16881,take,0,salt,31,['salt'],[31],"(4,1)","(4,1)",0,0,0,0,right,
52,P01,P01_01,open salt,04:41.4,04:42.9,16887,16975,open,2,salt,31,['salt'],[31],"(4,1)","(4,1)",0,1,0,0,both,
53,P01,P01_01,pour salt onto pan,04:42.8,04:45.1,16968,17103,pour,7,salt,31,"['salt', 'pan']","[31, 1]","(4,1)","(4,1)",0,0,0,0,right,
