,uid,participant_id,video_id,narration,start_timestamp,stop_timestamp,start_frame,stop_frame,verb,verb_class,noun,noun_class,all_nouns,all_noun_classes,grid_location,prior_grid,lhand_vposition ,lhand_hposition ,rhand_vposition ,rhand_hposition ,hand in use ,Unnamed: 21
0,0,P01,P01_01,open door,00:00.1,00:03.4,8,202,open,2,door,8,['door'],[8],,,,,,,,
1,1,P01,P01_01,turn on light,00:04.4,00:06.2,262,370,turn-on,12,light,113,['light'],[113],,,,,,,,
2,2,P01,P01_01,close door,00:07.0,00:09.5,418,569,close,3,door,8,['door'],[8],,,,,,,,
3,3,P01,P01_01,open fridge,00:12.8,00:14.0,766,839,open,2,fridge,10,['fridge'],[10],,,,,,,,
4,4,P01,P01_01,take celery,00:15.2,00:16.4,915,983,take,0,celery,185,['celery'],[185],"(0,3)","(0,0)",0,0,0,0,right,
5,5,P01,P01_01,take container,00:16.5,00:18.1,990,1083,take,0,container,29,['container'],[29],,,,,,,,
6,6,P01,P01_01,take tofu,00:18.2,00:21.1,1091,1268,take,0,tofu,159,['tofu'],[159],"(0,3)","(0,0)",0,0,0,0,right,
7,7,P01,P01_01,close fridge,00:21.9,00:23.3,1314,1399,close,3,fridge,10,['fridge'],[10],,,,,,,,
8,8,P01,P01_01,open fridge,00:23.2,00:24.3,1390,1457,open,2,fridge,10,['fridge'],[10],,,,,,,,
9,9,P01,P01_01,take carrots and,00:24.5,00:27.9,1468,1676,take,0,carrot,40,['carrot'],[40],"(0,3)","(0,0)",0,0,1,0,right,
10,10,P01,P01_01,open drawer,00:25.0,00:26.2,1498,1572,open,2,drawer,9,['drawer'],[9],,,,,,,,
11,11,P01,P01_01,close fridge,00:29.2,00:31.3,1753,1879,close,3,fridge,10,['fridge'],[10],,,,,,,,
12,12,P01,P01_01,put down vegetables,00:36.7,00:37.8,2200,2266,put-down,1,vegetable,90,['vegetable'],[90],,,,,,,,
13,13,P01,P01_01,open cupboard,00:41.8,00:42.5,2507,2553,open,2,cupboard,8,['cupboard'],[8],,,,,,,,
14,14,P01,P01_01,take cutting board,00:43.2,00:46.6,2592,2798,take,0,board:cutting,19,['board:cutting'],[19],"(5,1)","(0,3)",0,0,0,0,both,
15,15,P01,P01_01,put down cutting board,00:46.5,00:47.8,2787,2868,put-down,1,board:cutting,19,['board:cutting'],[19],,,,,,,,
