ID,begin_time,end_time,annotation,head_x,head_y,besteck_1,besteck_1_x,besteck_1_y,teller_flach_1,teller_flach_1_x,teller_flach_1_y,teller_tief_1,teller_tief_1_x,teller_tief_1_y,glas_1,glas_1_x,glas_1_y,schale_1,schale_1_x,schale_1_y,besteck_2,besteck_2_x,besteck_2_y,teller_flach_2,teller_flach_1_x,teller_flach_1_y,teller_tief_2,teller_tief_2_x,teller_tief_2_y,glas_2,glas_2_x,glas_2_y,schale_2,schale_2_x,schale_2_y,besteck_3,besteck_3_x,besteck_3_y,teller_flach_3,teller_flach_3_x,teller_flach_3_y,teller_tief_3,teller_tief_3_x,teller_tief_3_y,glas_3,glas_3_x,glas_3_y,schale_3,schale_3_x,schale_3_y,geschirrspuehler_x,geschirrspuehler_y
k01,0,2,offnen_geschirrspuler,2,4,0,4,3,0,4,3,0,4,3,0,4,3,0,5,3,0,4,3,0,4,3,0,4,3,0,4,3,0,4,3,0,4,2,0,4,2,0,4,2,0,4,2,0,4,2,1.5,4.5
k01,2,4,offnen_tellerSchublade,2,4,0,4,3,0,4,3,0,4,3,0,4,3,0,5,3,0,4,3,0,4,3,0,4,3,0,4,3,0,4,3,0,4,2,0,4,2,0,4,2,0,4,2,0,4,2,1.5,4.5
k01,5,14,nehmen_objekte,3,4,1,2,4,0,4,3,0,4,3,0,4,3,0,5,3,0,2,4,0,4,3,0,4,3,0,4,3,0,4,3,0,4,2,0,4,2,0,4,2,0,4,2,0,4,2,1.5,4.5
k01,15,16,offnen_besteckSchublade,2,4,0,2,4,0,4,3,0,4,3,0,4,3,0,5,3,0,2,4,0,4,3,0,4,3,0,4,3,0,4,3,0,4,2,0,4,2,0,4,2,0,4,2,0,4,2,1.5,4.5
k01,17,18,fullen_geschirrspuler,2,4,1,2,4,0,4,3,0,4,3,0,4,3,0,5,3,0,2,4,0,4,3,0,4,3,0,4,3,0,4,3,0,4,2,0,4,2,0,4,2,0,4,2,0,4,2,1.5,4.5
k01,19,26,nehmen_objekte,3,4,0,2,4,0,4,3,0,4,3,0,4,3,0,5,3,0,2,4,0,4,3,0,4,3,0,4,3,0,4,3,1,2,4,0,4,2,0,4,2,0,4,2,0,4,2,1.5,4.5
k01,27,27,fullen_geschirrspuler,2,4,0,2,4,0,4,3,0,4,3,0,4,3,0,5,3,0,2,4,0,4,3,0,4,3,0,4,3,0,4,3,1,2,4,0,4,2,0,4,2,0,4,2,0,4,2,1.5,4.5
k01,28,28,schliessen_besteckSchublade,2,4,0,1,4,0,4,3,0,4,3,0,4,3,0,5,3,1,1,4,0,4,3,0,4,3,0,4,3,0,4,3,0,1,4,0,4,2,0,4,2,0,4,2,0,4,2,1.5,4.5
k01,29,30,offnen_glasSchublade,2,4,0,1,4,0,4,3,0,4,3,0,4,3,0,5,3,0,1,4,0,4,3,0,4,3,0,4,3,0,4,3,0,1,4,0,4,2,0,4,2,0,4,2,0,4,2,1.5,4.5
k01,31,35,nehmen_objekte,3,4,0,1,4,0,4,3,0,4,3,1,2,4,0,5,3,1,1,4,0,4,3,0,4,3,1,2,4,1,2,4,0,1,4,0,4,2,0,4,2,1,2,4,0,4,2,1.5,4.5
k01,36,40,fullen_geschirrspuler,2,4,0,1,4,0,4,3,0,4,3,1,2,4,0,5,3,0,1,4,0,4,3,0,4,3,1,2,4,1,2,4,0,1,4,0,4,2,0,4,2,1,2,4,0,4,2,1.5,4.5
k01,41,46,nehmen_objekte,3,4,0,1,4,0,4,3,0,4,3,0,2,4,1,2,4,0,1,4,0,4,3,0,4,3,0,2,4,0,2,4,0,1,4,0,4,2,0,4,2,0,2,4,1,2,4,1.5,4.5
k01,47,52,fullen_geschirrspuler,2,4,0,1,4,0,4,3,0,4,3,0,2,4,1,2,4,0,1,4,0,4,3,0,4,3,0,2,4,0,2,4,0,1,4,0,4,2,0,4,2,0,2,4,1,2,4,1.5,4.5
k01,53,53,schliessen_glasSchublade,2,4,0,1,4,0,4,3,0,4,3,0,1,4,0,1,4,0,1,4,0,4,3,0,4,3,0,1,4,0,1,4,0,1,4,0,4,2,0,4,2,0,1,4,0,1,4,1.5,4.5
k01,54,61,nehmen_objekte,3,4,0,1,4,1,4,3,1,2,4,0,1,4,0,1,4,0,1,4,0,4,3,1,2,4,0,1,4,0,1,4,0,1,4,0,4,2,1,2,4,0,1,4,0,1,4,1.5,4.5
k01,62,66,fullen_geschirrspuler,2,4,0,1,4,1,4,2,1,4,4,0,1,4,0,1,4,0,1,4,0,4,3,1,2,4,0,1,4,0,1,4,0,1,4,0,4,2,1,2,4,0,1,4,0,1,4,1.5,4.5
k01,66,70,nehmen_objekte,3,4,0,1,4,0,4,2,0,4,4,0,1,4,0,1,4,0,1,4,1,2,4,0,2,4,0,1,4,0,1,4,0,1,4,1,2,4,0,2,4,0,1,4,0,1,4,1.5,4.5
