ID,sequence,coordinates,start_coordinates,set_0,set_1,set_2,set_3,set_4,set_5,set_6,set_7,set_8,set_9,containment,strong_k,mid_k,food_k
k01,"set_0,besteck_3,set_2,set_3,set_4,set_5","besteck_1: (4.0,3.0,2.0);teller_flach_1: (4.0,3.0,2.0);teller_tief_1: (4.0,3.0,2.0);glas_1: (4.0,3.0,2.0);schale_1: (5.0,3.0,2.0);besteck_2: (4.0,3.0,2.0);teller_flach_2: (4.0,3.0,2.0);teller_tief_2: (4.0,3.0,2.0);glas_2: (4.0,3.0,2.0);schale_2: (4.0,3.0,2.0);besteck_3: (4.0,2.0,2.0);teller_flach_3: (4.0,2.0,2.0);teller_tief_3: (4.0,2.0,2.0);glas_3: (4.0,2.0,2.0);schale_3: (4.0,2.0,2.0);set_0: (4.0,3.0,2.0);set_2: (4.0,2.6666666666666665,2.0);set_3: (4.333333333333333,2.6666666666666665,2.0);set_4: (4.0,2.6666666666666665,2.0);set_5: (4.0,2.6666666666666665,2.0]","[2.0,4.0,2.0],[2.0,4.0,2.0],[2.0,4.0,2.0],[2.0,4.0,2.0],[2.0,4.0,2.0],[2.0,4.0,2.0],[2.0,4.0,2.0]","besteck_1,besteck_2",,"glas_1,glas_2,glas_3","schale_1,schale_2,schale_3","teller_tief_1,teller_tief_2,teller_tief_3","teller_flach_1,teller_flach_3,teller_flach_2",,,,,0,"besteck_1,besteck_2,besteck_3",,
k04,"set_0,set_1,set_2,set_3,set_4","besteck_1: (4.5,4.2,2.0);teller_flach_1: (4.5,4.2,2.0);teller_tief_1: (5.5,4.2,2.0);glas_1: (3.2,4.5,2.0);schale_1: (3.9,4.5,2.0);besteck_2: (3.2,3.0,2.0);teller_flach_2: (4.5,3.0,2.0);teller_tief_2: (4.7,2.7,2.0);glas_2: (4.7,3.0,2.0);schale_2: (2.1,4.1,2.0);besteck_3: (5.2,2.0,2.0);teller_flach_3: (4.1,2.1,2.0);teller_tief_3: (5.2,2.0,2.0);glas_3: (4.5,2.1,2.0);schale_3: (4.8,3.9,2.0);set_0: (4.033333333333332,3.0,2.0);set_1: (3.925,3.6999999999999997,2.0);set_2: (4.133333333333334,3.1999999999999997,2.0);set_3: (5.133333333333334,2.966666666666667,2.0);set_4: (4.5,3.6,2.0]","[3.5,3.0,2.0],[3.5,3.0,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0]","teller_flach_3,schale_3,besteck_2","besteck_1,besteck_3,schale_1,schale_2","glas_1,glas_3,glas_2","teller_tief_2,teller_tief_3,teller_tief_1","teller_flach_1,teller_flach_2",,,,,,0,"besteck_1,besteck_2,besteck_3",,
k06,"set_0,set_1,set_2,set_3,set_4","besteck_1: (5.0,3.5,2.0);teller_flach_1: (5.0,3.5,2.0);teller_tief_1: (5.0,3.2,2.0);glas_1: (5.0,3.4,2.0);schale_1: (5.1,3.4,2.0);besteck_2: (4.5,3.3,2.0);teller_flach_2: (4.5,3.3,2.0);teller_tief_2: (4.7,3.0,2.0);glas_2: (4.7,3.2,2.0);schale_2: (4.7,3.7,2.0);besteck_3: (4.5,2.2,2.0);teller_flach_3: (4.5,2.2,2.0);teller_tief_3: (4.8,2.0,2.0);glas_3: (4.9,2.1,2.0);schale_3: (4.5,2.2,2.0);set_0: (4.666666666666667,3.0,2.0);set_1: (4.666666666666667,3.0,2.0);set_2: (4.833333333333333,2.733333333333333,2.0);set_3: (4.766666666666667,3.1,2.0);set_4: (4.866666666666667,2.9000000000000004,2.0]","[2.5,4.5,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0]","besteck_2,besteck_1,besteck_3","teller_flach_3,teller_flach_2,teller_flach_1","teller_tief_3,teller_tief_1,teller_tief_2","schale_2,schale_3,schale_1","glas_3,glas_2,glas_1",,,,,,0,"besteck_1,besteck_2,besteck_3",,
k08,"set_0,set_1,set_2,set_3,teller_flach_1,set_5,set_6,glas_3","besteck_1: (5.0,3.7,2.0);teller_flach_1: (5.0,3.7,2.0);teller_tief_1: (5.4,3.5,2.0);glas_1: (3.6,4.9,2.0);schale_1: (5.5,3.7,2.0);besteck_2: (4.5,3.1,2.0);teller_flach_2: (4.5,3.1,2.0);teller_tief_2: (5.0,3.1,2.0);glas_2: (3.0,4.7,2.0);schale_2: (5.0,2.9,2.0);besteck_3: (4.5,2.4,2.0);teller_flach_3: (4.5,2.4,2.0);teller_tief_3: (5.0,2.4,2.0);glas_3: (4.7,2.1,2.0);schale_3: (5.0,2.9,2.0);set_0: (4.5,2.4,2.0);set_1: (4.5,3.1,2.0);set_2: (5.0,2.75,2.0);set_3: (5.0,3.7,2.0);set_5: (5.166666666666667,3.1666666666666665,2.0);set_6: (3.3,4.800000000000001,2.0]","[2.5,4.5,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0]","besteck_3,teller_flach_3","besteck_2,teller_flach_2","teller_tief_3,teller_tief_2","besteck_1,teller_flach_1",,"schale_1,schale_3,schale_2","glas_1,glas_2",,,,0,"besteck_1,besteck_2,besteck_3",,
k11,"set_0,besteck_3,besteck_3,set_3,set_4,set_5,set_6,set_7,set_8","besteck_1: (5.0,3.6,2.0);teller_flach_1: (5.0,3.6,2.0);teller_tief_1: (5.5,3.6,2.0);glas_1: (5.0,3.7,2.0);schale_1: (5.1,3.7,2.0);besteck_2: (4.5,3.2,2.0);teller_flach_2: (4.5,3.2,2.0);teller_tief_2: (4.5,3.7,2.0);glas_2: (4.6,3.0,2.0);schale_2: (4.9,3.7,2.0);besteck_3: (4.5,2.4,2.0);teller_flach_3: (4.5,2.4,2.0);teller_tief_3: (5.0,2.1,2.0);glas_3: (4.7,2.2,2.0);schale_3: (4.5,2.4,2.0);set_0: (4.75,3.4000000000000004,2.0);set_3: (4.75,3.4000000000000004,2.0);set_4: (5.0,3.6500000000000004,2.0);set_5: (4.75,2.25,2.0);set_6: (4.8,3.35,2.0);set_7: (5.0,3.7,2.0);set_8: (4.85,2.1500000000000004,2.0]","[2.5,4.5,2.0],[2.5,4.5,2.0],[2.4,4.5,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0],[3.9,4.1,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0]","besteck_1,besteck_2",,,"teller_flach_2,teller_flach_1","teller_tief_2,teller_tief_1","schale_3,teller_tief_3","glas_1,glas_2","schale_2,schale_1","glas_3,teller_tief_3",,0,"besteck_1,besteck_2,besteck_3",,
k12,"set_0,besteck_2,set_2,set_3,besteck_1,set_5,set_6,set_7","besteck_1: (5.5,3.7,2.0);teller_flach_1: (5.5,3.7,2.0);teller_tief_1: (4.9,3.5,2.0);glas_1: (5.4,3.5,2.0);schale_1: (5.5,3.4,2.0);besteck_2: (4.5,3.5,2.0);teller_flach_2: (4.5,3.5,2.0);teller_tief_2: (4.5,3.0,2.0);glas_2: (4.6,3.0,2.0);schale_2: (4.6,3.2,2.0);besteck_3: (4.5,2.4,2.0);teller_flach_3: (4.5,2.4,2.0);teller_tief_3: (5.0,2.4,2.0);glas_3: (4.7,2.3,2.0);schale_3: (5.0,2.6,2.0);set_0: (5.5,3.7,2.0);set_2: (4.5,3.25,2.0);set_3: (4.65,2.65,2.0);set_5: (5.0,3.466666666666667,2.0);set_6: (5.45,3.45,2.0);set_7: (5.0,2.5,2.0]","[3.0,3.9,2.0],[3.0,3.9,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0]","besteck_1,teller_flach_1",,"teller_flach_2,teller_tief_2","glas_3,glas_2",,"teller_flach_1,teller_tief_1,schale_2","schale_1,glas_1","schale_3,teller_tief_3",,,0,"besteck_1,besteck_2,besteck_3",,
k14,"set_0,set_1,schale_1,besteck_1,set_4,teller_tief_1,teller_tief_2,set_7,set_8,schale_3","besteck_1: (5.0,3.7,2.0);teller_flach_1: (5.0,3.7,2.0);teller_tief_1: (5.3,3.5,2.0);glas_1: (4.8,3.7,2.0);schale_1: (4.9,3.5,2.0);besteck_2: (4.2,3.7,2.0);teller_flach_2: (4.2,3.7,2.0);teller_tief_2: (5.0,3.1,2.0);glas_2: (4.6,3.2,2.0);schale_2: (4.8,3.2,2.0);besteck_3: (4.5,2.1,2.0);teller_flach_3: (4.2,2.1,2.0);teller_tief_3: (1.5,4.5,2.0);glas_3: (4.5,2.1,2.0);schale_3: (4.9,2.2,2.0);set_0: (4.2,3.7,2.0);set_1: (4.8,3.45,2.0);set_4: (5.0,3.7,2.0);set_7: (4.55,2.6500000000000004,2.0);set_8: (4.35,2.1,2.0]","[3.7,4.2,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0]","besteck_2,teller_flach_2","schale_2,glas_1",,,"besteck_1,teller_flach_1",,,"glas_2,glas_3","besteck_3,teller_flach_3",,0,"besteck_1,besteck_2,besteck_3",,
k16,"set_0,set_1,besteck_3,besteck_2,besteck_1,besteck_2,set_6,set_7,set_8","besteck_1: (5.0,3.8,2.0);teller_flach_1: (5.0,3.8,2.0);teller_tief_1: (5.5,3.2,2.0);glas_1: (4.9,3.5,2.0);schale_1: (5.1,3.5,2.0);besteck_2: (4.3,3.5,2.0);teller_flach_2: (4.3,3.5,2.0);teller_tief_2: (5.0,4.1,2.0);glas_2: (4.4,3.4,2.0);schale_2: (5.0,4.1,2.0);besteck_3: (4.3,2.1,2.0);teller_flach_3: (4.3,2.1,2.0);teller_tief_3: (5.0,2.1,2.0);glas_3: (4.4,2.0,2.0);schale_3: (4.3,2.1,2.0);set_0: (4.65,3.6500000000000004,2.0);set_1: (4.475,2.1,2.0);set_6: (4.8,3.233333333333333,2.0);set_7: (4.566666666666667,2.966666666666667,2.0);set_8: (4.9,3.35,2.0]","[2.5,4.5,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0]","besteck_2,besteck_1,teller_flach_2,teller_flach_1","besteck_3,schale_3,teller_flach_3,teller_tief_3",,,,,"schale_1,schale_2,schale_3","glas_2,glas_3,glas_1","teller_tief_1,teller_flach_2",,0,"besteck_1,besteck_2,besteck_3",,
k17,"schale_1,set_1,set_2,set_3,set_4,besteck_3,set_6,set_7","besteck_1: (5.5,3.7,2.0);teller_flach_1: (4.8,3.8,2.0);teller_tief_1: (5.5,3.7,2.0);glas_1: (4.7,3.6,2.0);schale_1: (4.8,3.8,2.0);besteck_2: (4.3,3.2,2.0);teller_flach_2: (4.3,3.2,2.0);teller_tief_2: (5.1,2.6,2.0);glas_2: (4.6,3.1,2.0);schale_2: (4.3,3.2,2.0);besteck_3: (4.3,2.2,2.0);teller_flach_3: (4.3,2.2,2.0);teller_tief_3: (5.3,2.2,2.0);glas_3: (4.7,2.0,2.0);schale_3: (4.3,2.2,2.0);set_1: (4.3,2.7,2.0);set_2: (4.466666666666666,3.4,2.0);set_3: (4.65,3.35,2.0);set_4: (5.5,3.7,2.0);set_6: (4.5,2.1,2.0);set_7: (5.199999999999999,2.4000000000000004,2.0]","[2.5,4.5,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0]",,"schale_2,schale_3","besteck_2,teller_flach_1,teller_flach_2","glas_2,glas_1","teller_tief_1,besteck_1",,"teller_flach_3,glas_3","teller_tief_3,teller_tief_2",,,0,"besteck_1,besteck_2,besteck_3",,
k18,"set_0,set_1,set_2,set_3,set_4,set_5","besteck_1: (5.0,3.5,2.0);teller_flach_1: (5.0,3.5,2.0);teller_tief_1: (5.6,3.7,2.0);glas_1: (5.3,3.5,2.0);schale_1: (4.8,3.5,2.0);besteck_2: (4.5,3.5,2.0);teller_flach_2: (4.5,3.5,2.0);teller_tief_2: (4.1,3.2,2.0);glas_2: (4.8,3.2,2.0);schale_2: (4.7,3.2,2.0);besteck_3: (5.0,2.1,2.0);teller_flach_3: (4.6,2.5,2.0);teller_tief_3: (5.0,2.1,2.0);glas_3: (4.7,2.9,2.0);schale_3: (4.6,2.3,2.0);set_0: (4.720000000000001,3.3,2.0);set_1: (4.1,3.2,2.0);set_2: (4.775,2.7750000000000004,2.0);set_3: (4.933333333333334,3.1999999999999997,2.0);set_4: (4.8,2.2,2.0);set_5: (4.75,3.5,2.0]","[2.5,4.5,2.0],[3.9,4.1,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0]","besteck_2,besteck_1,teller_flach_1,teller_flach_2,teller_flach_3","teller_tief_2,teller_tief_2","besteck_3,schale_3,schale_2,schale_1","glas_2,glas_3,glas_1","schale_3,besteck_3","besteck_2,besteck_1",,,,,0,"besteck_1,besteck_2,besteck_3",,
k19,"set_0,teller_tief_1,set_2,teller_tief_2,besteck_2,besteck_3,teller_tief_3,set_7,set_8,set_9","besteck_1: (5.2,3.8,2.0);teller_flach_1: (5.2,3.8,2.0);teller_tief_1: (4.5,3.8,2.0);glas_1: (5.5,3.2,2.0);schale_1: (5.2,3.5,2.0);besteck_2: (4.5,3.5,2.0);teller_flach_2: (4.5,3.5,2.0);teller_tief_2: (4.2,3.8,2.0);glas_2: (5.1,3.2,2.0);schale_2: (5.0,3.2,2.0);besteck_3: (4.5,2.3,2.0);teller_flach_3: (4.5,2.3,2.0);teller_tief_3: (5.3,2.0,2.0);glas_3: (5.0,2.3,2.0);schale_3: (5.0,2.1,2.0);set_0: (5.2,3.8,2.0);set_2: (5.35,3.35,2.0);set_7: (4.85,3.65,2.0);set_8: (5.0,2.6500000000000004,2.0);set_9: (5.05,2.75,2.0]","[4.0,4.1,2.0],[4.0,4.1,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0]","teller_flach_1,besteck_1",,"schale_1,glas_1",,,,,"teller_flach_1,teller_flach_2","schale_2,schale_3","glas_2,glas_3",0,"besteck_1,besteck_2,besteck_3",,
k20,"besteck_3,besteck_2,besteck_1,besteck_1,set_4,set_5,set_6,set_7","besteck_1: (4.3,3.6,2.0);teller_flach_1: (4.3,3.6,2.0);teller_tief_1: (4.3,3.6,2.0);glas_1: (4.5,3.5,2.0);schale_1: (4.5,3.7,2.0);besteck_2: (4.2,2.3,2.0);teller_flach_2: (4.2,2.3,2.0);teller_tief_2: (4.5,2.6,2.0);glas_2: (4.6,2.3,2.0);schale_2: (4.7,3.0,2.0);besteck_3: (5.0,2.1,2.0);teller_flach_3: (5.5,2.2,2.0);teller_tief_3: (5.0,2.1,2.0);glas_3: (5.6,2.4,2.0);schale_3: (5.4,2.4,2.0);set_4: (4.766666666666667,2.6,2.0);set_5: (4.666666666666667,2.6999999999999997,2.0);set_6: (4.866666666666666,3.033333333333333,2.0);set_7: (4.8999999999999995,2.733333333333333,2.0]","[4.0,1.9,2.0],[4.0,1.9,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0]",,,,,"teller_tief_1,teller_tief_3,teller_tief_3","teller_flach_2,teller_flach_3,teller_flach_1","schale_1,schale_2,schale_3","glas_1,glas_2,glas_3",,,0,"besteck_1,besteck_2,besteck_3",,
k21,"set_0,set_1,set_2,set_3,set_4,set_5,set_6","besteck_1: (5.1,3.8,2.0);teller_flach_1: (5.1,3.8,2.0);teller_tief_1: (5.6,3.8,2.0);glas_1: (5.0,3.5,2.0);schale_1: (5.1,3.5,2.0);besteck_2: (4.2,3.5,2.0);teller_flach_2: (4.2,3.5,2.0);teller_tief_2: (4.6,3.5,2.0);glas_2: (4.2,3.2,2.0);schale_2: (4.5,3.7,2.0);besteck_3: (4.6,2.0,2.0);teller_flach_3: (4.2,2.2,2.0);teller_tief_3: (4.6,2.0,2.0);glas_3: (5.0,2.2,2.0);schale_3: (4.2,2.2,2.0);set_0: (4.8,2.1,2.0);set_1: (4.4,2.1,2.0);set_2: (4.4,2.85,2.0);set_3: (4.2,3.4,2.0);set_4: (4.75,3.6,2.0);set_5: (5.35,3.65,2.0);set_6: (5.1,3.8,2.0]","[4.0,2.1,2.0],[4.0,2.1,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0]","teller_tief_3,glas_3","besteck_3,schale_3","teller_flach_3,teller_tief_2","teller_flach_2,besteck_2,glas_2","schale_2,glas_1","teller_tief_1,schale_1","teller_flach_1,besteck_1",,,,0,"besteck_1,besteck_2,besteck_3",,
