input,target,start_coords.x,start_coords.y,start_coords.z,onion.already_seen,garlic_press.already_seen,potato.already_seen,pot.already_seen,flour.already_seen,spice_shaker.already_seen,butter.already_seen,bottle.already_seen,pomegranate.already_seen,cutting_board.already_seen,salt.already_seen,paper_bag.already_seen,spatula.already_seen,pan.already_seen,beans.already_seen,flat_grater.already_seen,figs.already_seen,herbs.already_seen,eggs.already_seen,avocado.already_seen,broccoli.already_seen,pot2.already_seen,ginger.already_seen,wire_whisk.already_seen,fork.already_seen,oil.already_seen,plate.already_seen,spoon_small.already_seen,plum.already_seen,glass.already_seen,carrots.already_seen,carrot.already_seen,jar.already_seen,spice.already_seen,chilli.already_seen,bread.already_seen,colander.already_seen,measuring_pitcher.already_seen,garlic.already_seen,pineapple.already_seen,lid.already_seen,lime.already_seen,lemon_juice.already_seen,milk.already_seen,cauliflower.already_seen,fig.already_seen,leek.already_seen,cup.already_seen,sugar.already_seen,orange.already_seen,spoon.already_seen,cucumber.already_seen,peeler.already_seen,kiwi.already_seen,ketchup.already_seen,ladle.already_seen,knife.already_seen,bowl.already_seen,plastic_box.already_seen,egg_cup.already_seen,bowl2.already_seen,mango.already_seen,squeezer.already_seen,oranges.already_seen,pepper.already_seen,coordinates_cutting_board.x,coordinates_cutting_board.y,coordinates_cutting_board.z,cutting_board.containment,cutting_board.food_k,cutting_board.strong_k,cutting_board.mid_k,coordinates_knife.x,coordinates_knife.y,coordinates_knife.z,knife.containment,knife.food_k,knife.strong_k,knife.mid_k,coordinates_cucumber.x,coordinates_cucumber.y,coordinates_cucumber.z,cucumber.containment,cucumber.food_k,cucumber.strong_k,cucumber.mid_k,coordinates_plate.x,coordinates_plate.y,coordinates_plate.z,plate.containment,plate.food_k,plate.strong_k,plate.mid_k,coordinates_bread.x,coordinates_bread.y,coordinates_bread.z,bread.containment,bread.food_k,bread.strong_k,bread.mid_k,coordinates_orange.x,coordinates_orange.y,coordinates_orange.z,orange.containment,orange.food_k,orange.strong_k,orange.mid_k,coordinates_garlic_press.x,coordinates_garlic_press.y,coordinates_garlic_press.z,garlic_press.containment,garlic_press.food_k,garlic_press.strong_k,garlic_press.mid_k,coordinates_garlic.x,coordinates_garlic.y,coordinates_garlic.z,garlic.containment,garlic.food_k,garlic.strong_k,garlic.mid_k,coordinates_spoon_small.x,coordinates_spoon_small.y,coordinates_spoon_small.z,spoon_small.containment,spoon_small.food_k,spoon_small.strong_k,spoon_small.mid_k,coordinates_squeezer.x,coordinates_squeezer.y,coordinates_squeezer.z,squeezer.containment,squeezer.food_k,squeezer.strong_k,squeezer.mid_k,coordinates_lime.x,coordinates_lime.y,coordinates_lime.z,lime.containment,lime.food_k,lime.strong_k,lime.mid_k,coordinates_pepper.x,coordinates_pepper.y,coordinates_pepper.z,pepper.containment,pepper.food_k,pepper.strong_k,pepper.mid_k,coordinates_chilli.x,coordinates_chilli.y,coordinates_chilli.z,chilli.containment,chilli.food_k,chilli.strong_k,chilli.mid_k,coordinates_kiwi.x,coordinates_kiwi.y,coordinates_kiwi.z,kiwi.containment,kiwi.food_k,kiwi.strong_k,kiwi.mid_k,coordinates_bowl.x,coordinates_bowl.y,coordinates_bowl.z,bowl.containment,bowl.food_k,bowl.strong_k,bowl.mid_k,coordinates_mango.x,coordinates_mango.y,coordinates_mango.z,mango.containment,mango.food_k,mango.strong_k,mango.mid_k,coordinates_peeler.x,coordinates_peeler.y,coordinates_peeler.z,peeler.containment,peeler.food_k,peeler.strong_k,peeler.mid_k,coordinates_cauliflower.x,coordinates_cauliflower.y,coordinates_cauliflower.z,cauliflower.containment,cauliflower.food_k,cauliflower.strong_k,cauliflower.mid_k,coordinates_colander.x,coordinates_colander.y,coordinates_colander.z,colander.containment,colander.food_k,colander.strong_k,colander.mid_k,coordinates_onion.x,coordinates_onion.y,coordinates_onion.z,onion.containment,onion.food_k,onion.strong_k,onion.mid_k,coordinates_plum.x,coordinates_plum.y,coordinates_plum.z,plum.containment,plum.food_k,plum.strong_k,plum.mid_k,coordinates_potato.x,coordinates_potato.y,coordinates_potato.z,potato.containment,potato.food_k,potato.strong_k,potato.mid_k,coordinates_pineapple.x,coordinates_pineapple.y,coordinates_pineapple.z,pineapple.containment,pineapple.food_k,pineapple.strong_k,pineapple.mid_k,coordinates_plastic_box.x,coordinates_plastic_box.y,coordinates_plastic_box.z,plastic_box.containment,plastic_box.food_k,plastic_box.strong_k,plastic_box.mid_k,coordinates_beans.x,coordinates_beans.y,coordinates_beans.z,beans.containment,beans.food_k,beans.strong_k,beans.mid_k,coordinates_pan.x,coordinates_pan.y,coordinates_pan.z,pan.containment,pan.food_k,pan.strong_k,pan.mid_k,coordinates_bottle.x,coordinates_bottle.y,coordinates_bottle.z,bottle.containment,bottle.food_k,bottle.strong_k,bottle.mid_k,coordinates_spice_shaker.x,coordinates_spice_shaker.y,coordinates_spice_shaker.z,spice_shaker.containment,spice_shaker.food_k,spice_shaker.strong_k,spice_shaker.mid_k,coordinates_fork.x,coordinates_fork.y,coordinates_fork.z,fork.containment,fork.food_k,fork.strong_k,fork.mid_k,coordinates_spatula.x,coordinates_spatula.y,coordinates_spatula.z,spatula.containment,spatula.food_k,spatula.strong_k,spatula.mid_k,coordinates_lid.x,coordinates_lid.y,coordinates_lid.z,lid.containment,lid.food_k,lid.strong_k,lid.mid_k,coordinates_spoon.x,coordinates_spoon.y,coordinates_spoon.z,spoon.containment,spoon.food_k,spoon.strong_k,spoon.mid_k,coordinates_glass.x,coordinates_glass.y,coordinates_glass.z,glass.containment,glass.food_k,glass.strong_k,glass.mid_k,coordinates_broccoli.x,coordinates_broccoli.y,coordinates_broccoli.z,broccoli.containment,broccoli.food_k,broccoli.strong_k,broccoli.mid_k,coordinates_pot.x,coordinates_pot.y,coordinates_pot.z,pot.containment,pot.food_k,pot.strong_k,pot.mid_k,coordinates_jar.x,coordinates_jar.y,coordinates_jar.z,jar.containment,jar.food_k,jar.strong_k,jar.mid_k,coordinates_avocado.x,coordinates_avocado.y,coordinates_avocado.z,avocado.containment,avocado.food_k,avocado.strong_k,avocado.mid_k,coordinates_fig.x,coordinates_fig.y,coordinates_fig.z,fig.containment,fig.food_k,fig.strong_k,fig.mid_k,coordinates_eggs.x,coordinates_eggs.y,coordinates_eggs.z,eggs.containment,eggs.food_k,eggs.strong_k,eggs.mid_k,coordinates_cup.x,coordinates_cup.y,coordinates_cup.z,cup.containment,cup.food_k,cup.strong_k,cup.mid_k,coordinates_oil.x,coordinates_oil.y,coordinates_oil.z,oil.containment,oil.food_k,oil.strong_k,oil.mid_k,coordinates_carrots.x,coordinates_carrots.y,coordinates_carrots.z,carrots.containment,carrots.food_k,carrots.strong_k,carrots.mid_k,coordinates_leek.x,coordinates_leek.y,coordinates_leek.z,leek.containment,leek.food_k,leek.strong_k,leek.mid_k,coordinates_herbs.x,coordinates_herbs.y,coordinates_herbs.z,herbs.containment,herbs.food_k,herbs.strong_k,herbs.mid_k,coordinates_ginger.x,coordinates_ginger.y,coordinates_ginger.z,ginger.containment,ginger.food_k,ginger.strong_k,ginger.mid_k,coordinates_carrot.x,coordinates_carrot.y,coordinates_carrot.z,carrot.containment,carrot.food_k,carrot.strong_k,carrot.mid_k,coordinates_oranges.x,coordinates_oranges.y,coordinates_oranges.z,oranges.containment,oranges.food_k,oranges.strong_k,oranges.mid_k,coordinates_pomegranate.x,coordinates_pomegranate.y,coordinates_pomegranate.z,pomegranate.containment,pomegranate.food_k,pomegranate.strong_k,pomegranate.mid_k,coordinates_butter.x,coordinates_butter.y,coordinates_butter.z,butter.containment,butter.food_k,butter.strong_k,butter.mid_k,coordinates_salt.x,coordinates_salt.y,coordinates_salt.z,salt.containment,salt.food_k,salt.strong_k,salt.mid_k,coordinates_flour.x,coordinates_flour.y,coordinates_flour.z,flour.containment,flour.food_k,flour.strong_k,flour.mid_k,coordinates_wire_whisk.x,coordinates_wire_whisk.y,coordinates_wire_whisk.z,wire_whisk.containment,wire_whisk.food_k,wire_whisk.strong_k,wire_whisk.mid_k,coordinates_ladle.x,coordinates_ladle.y,coordinates_ladle.z,ladle.containment,ladle.food_k,ladle.strong_k,ladle.mid_k,coordinates_sugar.x,coordinates_sugar.y,coordinates_sugar.z,sugar.containment,sugar.food_k,sugar.strong_k,sugar.mid_k,coordinates_paper_bag.x,coordinates_paper_bag.y,coordinates_paper_bag.z,paper_bag.containment,paper_bag.food_k,paper_bag.strong_k,paper_bag.mid_k,coordinates_spice.x,coordinates_spice.y,coordinates_spice.z,spice.containment,spice.food_k,spice.strong_k,spice.mid_k,coordinates_pot2.x,coordinates_pot2.y,coordinates_pot2.z,pot2.containment,pot2.food_k,pot2.strong_k,pot2.mid_k,coordinates_measuring_pitcher.x,coordinates_measuring_pitcher.y,coordinates_measuring_pitcher.z,measuring_pitcher.containment,measuring_pitcher.food_k,measuring_pitcher.strong_k,measuring_pitcher.mid_k,coordinates_ketchup.x,coordinates_ketchup.y,coordinates_ketchup.z,ketchup.containment,ketchup.food_k,ketchup.strong_k,ketchup.mid_k,coordinates_flat_grater.x,coordinates_flat_grater.y,coordinates_flat_grater.z,flat_grater.containment,flat_grater.food_k,flat_grater.strong_k,flat_grater.mid_k,coordinates_egg_cup.x,coordinates_egg_cup.y,coordinates_egg_cup.z,egg_cup.containment,egg_cup.food_k,egg_cup.strong_k,egg_cup.mid_k,coordinates_milk.x,coordinates_milk.y,coordinates_milk.z,milk.containment,milk.food_k,milk.strong_k,milk.mid_k,coordinates_figs.x,coordinates_figs.y,coordinates_figs.z,figs.containment,figs.food_k,figs.strong_k,figs.mid_k,coordinates_lemon_juice.x,coordinates_lemon_juice.y,coordinates_lemon_juice.z,lemon_juice.containment,lemon_juice.food_k,lemon_juice.strong_k,lemon_juice.mid_k,coordinates_bowl2.x,coordinates_bowl2.y,coordinates_bowl2.z,bowl2.containment,bowl2.food_k,bowl2.strong_k,bowl2.mid_k
<start>,cutting_board,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.0,1.0,0.0,1.0,0.0,0.0,1.5,2.0,1.0,0.0,0.0,0.0,1.5,4.0,3.0,1.0,0.0,0.0,0.0,2.0,3.0,2.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cutting_board,knife,0.0,1.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.0,1.0,0.0,1.0,0.0,0.0,1.5,2.0,1.0,0.0,0.0,0.0,1.5,4.0,3.0,1.0,0.0,0.0,0.0,2.0,3.0,2.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
knife,cucumber,0.0,1.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.0,1.0,0.0,1.0,0.0,0.0,1.5,2.0,1.0,0.0,0.0,0.0,1.5,4.0,3.0,1.0,0.0,0.0,0.0,2.0,3.0,2.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cucumber,plate,0.0,1.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.0,1.0,0.0,1.0,0.0,0.0,1.5,2.0,1.0,0.0,0.0,0.0,1.5,4.0,3.0,1.0,0.0,0.0,0.0,2.0,3.0,2.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<start>,bread,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.0,1.0,0.0,1.0,0.0,0.0,1.5,2.0,1.0,0.0,0.0,0.0,,,,,,,,2.0,3.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bread,plate,0.0,1.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.0,1.0,0.0,1.0,0.0,0.0,1.5,2.0,1.0,0.0,0.0,0.0,,,,,,,,2.0,3.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plate,knife,0.0,1.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.0,1.0,0.0,1.0,0.0,0.0,1.5,2.0,1.0,0.0,0.0,0.0,,,,,,,,2.0,3.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
knife,cutting_board,0.0,1.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.0,1.0,0.0,1.0,0.0,0.0,1.5,2.0,1.0,0.0,0.0,0.0,,,,,,,,2.0,3.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<start>,cutting_board,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.0,1.0,0.0,1.0,0.0,0.0,1.5,2.0,1.0,0.0,0.0,0.0,,,,,,,,2.0,3.0,2.0,1.0,1.0,0.0,0.0,,,,,,,,2.0,0.0,3.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cutting_board,knife,0.0,1.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.0,1.0,0.0,1.0,0.0,0.0,1.5,2.0,1.0,0.0,0.0,0.0,,,,,,,,2.0,3.0,2.0,1.0,1.0,0.0,0.0,,,,,,,,2.0,0.0,3.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
