ID,objects
P01_105,"['container', 'lid', 'pot', 'tray', 'fork', 'cup', 'board:cutting', 'mushroom', 'choi:pak', 'tofu', 'carrot', 'courgette', 'knife', 'wok', 'pan', 'dice:courgette', 'slice:courgette', 'ic:courgette', 'peeler', 'oil', 'salt', 'skin:carrot', 'spatula', 'onion', 'card', 'bag', 'box', 'cloth', 'pak', 'colander', 'bowl', 'leaf:pak:choi', 'bit:pak:choi', 'garlic', 'bit:food', 'noodle', 'saucepan', 'scissors', 'kettle', 'box:plastic', 'skin:garlic', 'sauce:soy', 'towel:tea', 'chopstick', 'cutlery', 'spoon', 'timer', 'sponge', 'liquid:washing:up']"
P01_109,"['rucksack', 'egg', 'onion', 'foil:aluminium', 'potato', 'box', 'beer', 'cup', 'spoon', 'plate', 'cloth', 'pan', 'board:cutting', 'peeler', 'knife', 'bit:potato', 'slice:potato', 'blade:peeler', 'oil:olive', 'salt', 'skin:potato', 'spatula', 'fork', 'skin:onion', 'bowl', 'bit:onion', 'glass', 'bottle:oil', 'lid', 'box:egg', 'roll:kitchen', 'liquid:washing:up', 'sponge', 'bit:food', 'grid:hob']"
P02_101,"['milk', 'bread', 'toast', 'plate', 'knife', 'butter', 'jam', 'stirrer', 'lid', 'sponge', 'liquid:washing', 'mug']"
P02_104,"['tupperware', 'pasta', 'pan', 'kettle', 'glove', 'strainer', 'salt', 'cutlery', 'meat', 'spoon:wooden', 'sponge', 'liquid:washing', 'tray', 'cheese', 'plate', 'knife', 'fork', 'grater', 'scissors', 'drainer', 'pot:pasta']"
P02_109,"['board:chopping', 'onion', 'knife', 'piece:onion', 'pan', 'bottle:oil', 'meat', 'cube:stock', 'spoon:wooden', 'press:garlic', 'garlic', 'piece:garlic', 'presser:garlic', 'lid', 'packaging', 'brush']"
P02_110,"['spoon:wooden', 'glass', 'kettle', 'spoon', 'stock', 'salt', 'jar:pepper', 'lid']"
P02_111,"['lid', 'spoon:wooden', 'paper']"
P02_112,"['spoon', 'yoghurt', 'jar:tahini:sauce', 'lid', 'jar:tahini', 'jar:spice', 'jar', 'tray', 'bottle:oil', 'drainer', 'plate', 'oil', 'tray:second', 'dough:remaining', 'bowl', 'pan', 'meat']"
P02_113,"['nut:pine', 'scissors', 'yoghurt', 'bag:pine:nut', 'sponge', 'liquid:washing', 'bowl', 'glove', 'board:chopping', 'mug', 'spoon', 'spoon:wooden', 'knife', 'salt', 'bottle:oil', 'tray', 'plate', 'lid']"
P02_115,"['oven', 'glove', 'plate', 'spatula:wooden', 'pie']"
P02_122,"['glove', 'mould:cake', 'plate', 'board:chopping', 'piece:baking:paper', 'egg', 'pepper', 'tomato', 'knife', 'fork', 'jar:pepper', 'jar:thyme', 'salt', 'jar:spice', 'bottle:oil', 'box:tomato', 'cheese:parmesan', 'grater', 'spatula', 'cheese', 'clip', 'pan', 'bag:bread:wrap', 'wrap']"
