ID,sequence_long,start_positions,coordinates
P01_105,"['container', 'lid', 'pot', 'tray', 'fork', 'cup', 'board:cutting', 'mushroom', 'choi:pak', 'tofu', 'carrot', 'courgette', 'knife', 'wok', 'pan', 'dice:courgette', 'slice:courgette', 'ic:courgette', 'peeler', 'oil', 'salt', 'skin:carrot', 'spatula', 'onion', 'card', 'bag', 'box', 'cloth', 'pak', 'colander', 'bowl', 'leaf:pak:choi', 'bit:pak:choi', 'garlic', 'bit:food', 'noodle', 'saucepan', 'scissors', 'kettle', 'box:plastic', 'skin:garlic', 'sauce:soy', 'towel:tea', 'chopstick', 'cutlery', 'spoon', 'timer', 'sponge', 'liquid:washing:up']","{'container': [], 'lid': [], 'pot': [], 'tray': [], 'fork': [], 'cup': [], 'board:cutting': [3, 1, 2], 'mushroom': [1, 1, 2], 'choi:pak': [0, 0, 2], 'tofu': [0, 0, 2], 'carrot': [0, 0, 2], 'courgette': [0, 0, 2], 'knife': [2, 1, 2], 'wok': [1, 1, 2], 'pan': [], 'dice:courgette': [], 'slice:courgette': [], 'ic:courgette': [2, 1, 2], 'peeler': [2, 1, 2], 'oil': [2, 1, 2], 'salt': [], 'skin:carrot': [], 'spatula': [3, 1, 2], 'onion': [2, 1, 2], 'card': [], 'bag': [], 'box': [], 'cloth': [], 'pak': [], 'colander': [], 'bowl': [], 'leaf:pak:choi': [], 'bit:pak:choi': [], 'garlic': [2, 1, 2], 'bit:food': [], 'noodle': [2, 1, 2], 'saucepan': [2, 1, 2], 'scissors': [2, 1, 2], 'kettle': [2, 1, 2], 'box:plastic': [], 'skin:garlic': [], 'sauce:soy': [2, 1, 2], 'towel:tea': [], 'chopstick': [], 'cutlery': [], 'spoon': [], 'timer': [], 'sponge': [], 'liquid:washing:up': []}","{'container': [], 'lid': [], 'pot': [], 'tray': [], 'fork': [], 'cup': [], 'board:cutting': [1, 1, 1], 'mushroom': [0, 0, 2], 'choi:pak': [0, 0, 2], 'tofu': [0, 0, 2], 'carrot': [0, 0, 2], 'courgette': [0, 0, 2], 'knife': [3, 1, 3], 'wok': [1, 1, 1], 'pan': [], 'dice:courgette': [], 'slice:courgette': [], 'ic:courgette': [2, 1, 2], 'peeler': [2, 1, 2], 'oil': [1, 1, 3], 'salt': [], 'skin:carrot': [], 'spatula': [2, 1, 2], 'onion': [2, 1, 2], 'card': [], 'bag': [], 'box': [], 'cloth': [], 'pak': [], 'colander': [], 'bowl': [], 'leaf:pak:choi': [], 'bit:pak:choi': [], 'garlic': [1, 1, 2], 'bit:food': [], 'noodle': [1, 1, 3], 'saucepan': [1, 1, 0], 'scissors': [3, 1, 2], 'kettle': [2, 1, 2], 'box:plastic': [], 'skin:garlic': [], 'sauce:soy': [1, 1, 3], 'towel:tea': [], 'chopstick': [], 'cutlery': [], 'spoon': [], 'timer': [], 'sponge': [], 'liquid:washing:up': []}"
P01_109,"['rucksack', 'egg', 'onion', 'foil:aluminium', 'potato', 'box', 'beer', 'cup', 'spoon', 'plate', 'cloth', 'pan', 'board:cutting', 'peeler', 'knife', 'bit:potato', 'slice:potato', 'blade:peeler', 'oil:olive', 'salt', 'skin:potato', 'spatula', 'fork', 'skin:onion', 'bowl', 'bit:onion', 'glass', 'bottle:oil', 'lid', 'box:egg', 'roll:kitchen', 'liquid:washing:up', 'sponge', 'bit:food', 'grid:hob']","{'rucksack': [], 'egg': [], 'onion': [], 'foil:aluminium': [], 'potato': [], 'box': [], 'beer': [], 'cup': [], 'spoon': [], 'plate': [], 'cloth': [], 'pan': [], 'board:cutting': [], 'peeler': [], 'knife': [], 'bit:potato': [], 'slice:potato': [], 'blade:peeler': [], 'oil:olive': [], 'salt': [], 'skin:potato': [], 'spatula': [], 'fork': [], 'skin:onion': [], 'bowl': [], 'bit:onion': [], 'glass': [], 'bottle:oil': [], 'lid': [], 'box:egg': [], 'roll:kitchen': [], 'liquid:washing:up': [], 'sponge': [], 'bit:food': [], 'grid:hob': []}","{'rucksack': [], 'egg': [], 'onion': [], 'foil:aluminium': [], 'potato': [], 'box': [], 'beer': [], 'cup': [], 'spoon': [], 'plate': [], 'cloth': [], 'pan': [], 'board:cutting': [], 'peeler': [], 'knife': [], 'bit:potato': [], 'slice:potato': [], 'blade:peeler': [], 'oil:olive': [], 'salt': [], 'skin:potato': [], 'spatula': [], 'fork': [], 'skin:onion': [], 'bowl': [], 'bit:onion': [], 'glass': [], 'bottle:oil': [], 'lid': [], 'box:egg': [], 'roll:kitchen': [], 'liquid:washing:up': [], 'sponge': [], 'bit:food': [], 'grid:hob': []}"
P02_101,"['milk', 'bread', 'toast', 'plate', 'knife', 'butter', 'jam', 'stirrer', 'lid', 'sponge', 'liquid:washing', 'mug']","{'milk': [], 'bread': [], 'toast': [], 'plate': [], 'knife': [], 'butter': [], 'jam': [], 'stirrer': [], 'lid': [], 'sponge': [], 'liquid:washing': [], 'mug': []}","{'milk': [], 'bread': [], 'toast': [], 'plate': [], 'knife': [], 'butter': [], 'jam': [], 'stirrer': [], 'lid': [], 'sponge': [], 'liquid:washing': [], 'mug': []}"
P02_104,"['tupperware', 'pasta', 'pan', 'kettle', 'glove', 'strainer', 'salt', 'cutlery', 'meat', 'spoon:wooden', 'sponge', 'liquid:washing', 'tray', 'cheese', 'plate', 'knife', 'fork', 'grater', 'scissors', 'drainer', 'pot:pasta']","{'tupperware': [], 'pasta': [], 'pan': [], 'kettle': [], 'glove': [], 'strainer': [], 'salt': [], 'cutlery': [], 'meat': [], 'spoon:wooden': [], 'sponge': [], 'liquid:washing': [], 'tray': [], 'cheese': [], 'plate': [], 'knife': [], 'fork': [], 'grater': [], 'scissors': [], 'drainer': [], 'pot:pasta': [4, 2, 2]}","{'tupperware': [], 'pasta': [], 'pan': [], 'kettle': [], 'glove': [], 'strainer': [], 'salt': [], 'cutlery': [], 'meat': [], 'spoon:wooden': [], 'sponge': [], 'liquid:washing': [], 'tray': [], 'cheese': [], 'plate': [], 'knife': [], 'fork': [], 'grater': [], 'scissors': [], 'drainer': [], 'pot:pasta': [4, 2, 2]}"
P02_109,"['board:chopping', 'onion', 'knife', 'piece:onion', 'pan', 'bottle:oil', 'meat', 'cube:stock', 'spoon:wooden', 'press:garlic', 'garlic', 'piece:garlic', 'presser:garlic', 'lid', 'packaging', 'brush']","{'board:chopping': [], 'onion': [], 'knife': [], 'piece:onion': [], 'pan': [2, 2, 2], 'bottle:oil': [], 'meat': [0, 2, 2], 'cube:stock': [0, 2, 3], 'spoon:wooden': [], 'press:garlic': [], 'garlic': [], 'piece:garlic': [], 'presser:garlic': [], 'lid': [], 'packaging': [], 'brush': []}","{'board:chopping': [], 'onion': [], 'knife': [], 'piece:onion': [], 'pan': [4, 3, 0], 'bottle:oil': [], 'meat': [0, 2, 3], 'cube:stock': [0, 2, 3], 'spoon:wooden': [], 'press:garlic': [], 'garlic': [], 'piece:garlic': [], 'presser:garlic': [], 'lid': [], 'packaging': [], 'brush': []}"
P02_110,"['spoon:wooden', 'glass', 'kettle', 'spoon', 'stock', 'salt', 'jar:pepper', 'lid']","{'spoon:wooden': [], 'glass': [], 'kettle': [], 'spoon': [], 'stock': [], 'salt': [], 'jar:pepper': [], 'lid': []}","{'spoon:wooden': [], 'glass': [], 'kettle': [], 'spoon': [], 'stock': [], 'salt': [], 'jar:pepper': [], 'lid': []}"
P02_111,"['lid', 'spoon:wooden', 'paper']","{'lid': [], 'spoon:wooden': [], 'paper': []}","{'lid': [], 'spoon:wooden': [], 'paper': []}"
P02_112,"['spoon', 'yoghurt', 'jar:tahini:sauce', 'lid', 'jar:tahini', 'jar:spice', 'jar', 'tray', 'bottle:oil', 'drainer', 'plate', 'oil', 'tray:second', 'dough:remaining', 'bowl', 'pan', 'meat']","{'spoon': [], 'yoghurt': [], 'jar:tahini:sauce': [], 'lid': [], 'jar:tahini': [], 'jar:spice': [], 'jar': [], 'tray': [], 'bottle:oil': [], 'drainer': [], 'plate': [], 'oil': [], 'tray:second': [], 'dough:remaining': [], 'bowl': [], 'pan': [], 'meat': []}","{'spoon': [], 'yoghurt': [], 'jar:tahini:sauce': [], 'lid': [], 'jar:tahini': [], 'jar:spice': [], 'jar': [], 'tray': [], 'bottle:oil': [], 'drainer': [], 'plate': [], 'oil': [], 'tray:second': [], 'dough:remaining': [], 'bowl': [], 'pan': [], 'meat': []}"
P02_113,"['nut:pine', 'scissors', 'yoghurt', 'bag:pine:nut', 'sponge', 'liquid:washing', 'bowl', 'glove', 'board:chopping', 'mug', 'spoon', 'spoon:wooden', 'knife', 'salt', 'bottle:oil', 'tray', 'plate', 'lid']","{'nut:pine': [], 'scissors': [], 'yoghurt': [], 'bag:pine:nut': [], 'sponge': [], 'liquid:washing': [], 'bowl': [], 'glove': [], 'board:chopping': [], 'mug': [], 'spoon': [], 'spoon:wooden': [], 'knife': [], 'salt': [], 'bottle:oil': [], 'tray': [], 'plate': [], 'lid': []}","{'nut:pine': [], 'scissors': [], 'yoghurt': [], 'bag:pine:nut': [], 'sponge': [], 'liquid:washing': [], 'bowl': [], 'glove': [], 'board:chopping': [], 'mug': [], 'spoon': [], 'spoon:wooden': [], 'knife': [], 'salt': [], 'bottle:oil': [], 'tray': [], 'plate': [], 'lid': []}"
P02_115,"['oven', 'glove', 'plate', 'spatula:wooden', 'pie']","{'oven': [4, 2, 1], 'glove': [], 'plate': [], 'spatula:wooden': [], 'pie': []}","{'oven': [4, 2, 1], 'glove': [], 'plate': [], 'spatula:wooden': [], 'pie': []}"
