ID,sequence,objects,coordinates,start_coordinates,strong_k,mid_k,no_k,food_k,containment,span,error
aut1,ppscgkss,"p,ps,c,g,k,ss","p: (0.008034,0.957082,0.6890539999999999);ps: (-0.185,0.928,0.48103500000000005);c: (-0.525007,0.923283,0.438);g: (-0.595001,1.233,0.468999);k: (-0.030993,0.7334229999999999,0.530651);ss: (-0.606068,0.743321,0.524829)","[-0.451354,-0.413918,0.156247],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74]",0,"p,ps","c,g,k,ss",0,"p,ps,c,g,k,ss",,0.666
aut3,,"c,g,w,p,c2,f,f2,k,k2,s,s2",,,,,,,,,
aut5,,,,,,,,,,,
aut11,,,,,,,,,,,
aut13,,,,,,,,,,,
aut16,,,,,,,,,,,
aut19,,,,,,,,,,,
aut22,,,,,,,,,,,
aut16,,,,,,,,,,,
aut29,,,,,,,,,,,
aut31,,,,,,,,,,,
aut35,,,,,,,,,,,
aut37,,,,,,,,,,,
aut39,,,,,,,,,,,
aut40,,,,,,,,,,,
aut43,,,,,,,,,,,
aut45,,,,,,,,,,,
aut47,,,,,,,,,,,
aut51,,,,,,,,,,,
aut55,,,,,,,,,,,
aut56,,,,,,,,,,,
aut59,,,,,,,,,,,
aut60,,,,,,,,,,,
aut61,,,,,,,,,,,
aut69,,,,,,,,,,,
aut73,,,,,,,,,,,
aut76,,,,,,,,,,,
aut77,,,,,,,,,,,
aut79,,,,,,,,,,,
aut80,,,,,,,,,,,
aut85,,,,,,,,,,,
aut87,,,,,,,,,,,
aut89,,,,,,,,,,,
aut93,,,,,,,,,,,
aut99,,,,,,,,,,,
aut100,,,,,,,,,,,
aut102,,,,,,,,,,,
aut106,,,,,,,,,,,
aut109,,,,,,,,,,,
