,from_node,to_node,obj_at_once,dist,weight_new
0,z,t,1,5.0197648378370845,3.0937011623023767
1,z,n,1,5.0197648378370845,3.3536097923954027
2,z,s,1,4.16227766016838,4.994733192202056
3,z,p,1,5.39834563766817,4.623701576731039
4,z,c,1,5.39834563766817,6.478014765201803
5,z,tn,2,5.0197648378370845,2.332699360825071
6,z,ts,2,5.576491222541474,3.9960780499050865
7,z,tp,2,7.576491222541474,3.7297815450135317
8,z,tc,2,7.576491222541474,4.952322665843216
9,z,ns,2,5.576491222541474,4.354637550922343
10,z,np,2,7.576491222541474,4.044474678142363
11,z,nc,2,7.576491222541474,5.480022471585296
12,z,sp,2,6.16227766016838,5.947291879323203
13,z,sc,2,6.16227766016838,8.873679830642466
14,z,pc,2,5.39834563766817,5.548441892077247
15,t,tn,1,7.211102550927978,4.400492183118507
16,t,ts,1,6.324555320336759,7.58946638440411
17,t,tp,1,6.324555320336759,5.248137954927735
18,t,tc,1,6.324555320336759,7.58946638440411
19,t,tns,2,7.7678289356323695,5.583493125008668
20,t,tnp,2,9.76782893563237,4.710424781646018
21,t,tnc,2,9.76782893563237,6.630248102811382
22,t,tsp,2,8.32455532033676,7.565107049751749
23,t,tsc,2,8.32455532033676,11.987359661284934
24,t,tpc,2,6.324555320336759,6.297765545913282
25,n,tn,1,7.211102550927978,3.986586302851176
26,n,ns,1,6.324555320336759,7.58946638440411
27,n,np,1,6.324555320336759,5.248137954927735
28,n,nc,1,6.324555320336759,7.58946638440411
29,n,tns,2,7.7678289356323695,5.039541235028691
30,n,tnp,2,9.76782893563237,4.2999969878134925
31,n,tnc,2,9.76782893563237,5.91615954892993
32,n,nsp,2,8.32455532033676,7.565107049751749
33,n,nsc,2,8.32455532033676,11.987359661284934
34,n,npc,2,6.324555320336759,6.297765545913282
35,s,ts,1,7.211102550927978,3.986586302851176
36,s,ns,1,7.211102550927978,4.400492183118507
37,s,sp,1,6.324555320336759,5.248137954927735
38,s,sc,1,6.324555320336759,7.58946638440411
39,s,tns,2,7.211102550927978,2.8213104515093725
40,s,tsp,2,9.76782893563237,4.2999969878134925
41,s,tsc,2,9.76782893563237,5.91615954892993
42,s,nsp,2,9.76782893563237,4.710424781646018
43,s,nsc,2,9.76782893563237,6.630248102811382
44,s,spc,2,6.324555320336759,6.297765545913282
45,p,tp,1,7.211102550927978,3.986586302851176
46,p,np,1,7.211102550927978,4.400492183118507
47,p,sp,1,6.324555320336759,7.58946638440411
48,p,pc,1,6.324555320336759,7.58946638440411
49,p,tnp,2,7.211102550927978,2.8213104515093725
50,p,tsp,2,7.7678289356323695,5.039541235028691
51,p,tpc,2,9.76782893563237,5.91615954892993
52,p,nsp,2,7.7678289356323695,5.583493125008668
53,p,npc,2,9.76782893563237,6.630248102811382
54,p,spc,2,8.32455532033676,11.987359661284934
55,c,tc,1,7.211102550927978,3.986586302851176
56,c,nc,1,7.211102550927978,4.400492183118507
57,c,sc,1,6.324555320336759,7.58946638440411
58,c,pc,1,6.324555320336759,5.248137954927735
59,c,tnc,2,7.211102550927978,2.8213104515093725
60,c,tsc,2,7.7678289356323695,5.039541235028691
61,c,tpc,2,9.76782893563237,4.2999969878134925
62,c,nsc,2,7.7678289356323695,5.583493125008668
63,c,npc,2,9.76782893563237,4.710424781646018
64,c,spc,2,8.32455532033676,7.565107049751749
65,tn,tns,1,6.324555320336759,7.58946638440411
66,tn,tnp,1,6.324555320336759,5.248137954927735
67,tn,tnc,1,6.324555320336759,7.58946638440411
68,tn,tnsp,2,8.32455532033676,7.565107049751749
69,tn,tnsc,2,8.32455532033676,11.987359661284934
70,tn,tnpc,2,6.324555320336759,6.297765545913282
71,ts,tns,1,7.211102550927978,4.400492183118507
72,ts,tsp,1,6.324555320336759,5.248137954927735
73,ts,tsc,1,6.324555320336759,7.58946638440411
74,ts,tnsp,2,9.76782893563237,4.710424781646018
75,ts,tnsc,2,9.76782893563237,6.630248102811382
76,ts,tspc,2,6.324555320336759,6.297765545913282
77,tp,tnp,1,7.211102550927978,4.400492183118507
78,tp,tsp,1,6.324555320336759,7.58946638440411
79,tp,tpc,1,6.324555320336759,7.58946638440411
80,tp,tnsp,2,7.7678289356323695,5.583493125008668
81,tp,tnpc,2,9.76782893563237,6.630248102811382
82,tp,tspc,2,8.32455532033676,11.987359661284934
83,tc,tnc,1,7.211102550927978,4.400492183118507
84,tc,tsc,1,6.324555320336759,7.58946638440411
85,tc,tpc,1,6.324555320336759,5.248137954927735
86,tc,tnsc,2,7.7678289356323695,5.583493125008668
87,tc,tnpc,2,9.76782893563237,4.710424781646018
88,tc,tspc,2,8.32455532033676,7.565107049751749
89,ns,tns,1,7.211102550927978,3.986586302851176
90,ns,nsp,1,6.324555320336759,5.248137954927735
91,ns,nsc,1,6.324555320336759,7.58946638440411
92,ns,tnsp,2,9.76782893563237,4.2999969878134925
93,ns,tnsc,2,9.76782893563237,5.91615954892993
94,ns,nspc,2,6.324555320336759,6.297765545913282
95,np,tnp,1,7.211102550927978,3.986586302851176
96,np,nsp,1,6.324555320336759,7.58946638440411
97,np,npc,1,6.324555320336759,7.58946638440411
98,np,tnsp,2,7.7678289356323695,5.039541235028691
99,np,tnpc,2,9.76782893563237,5.91615954892993
100,np,nspc,2,8.32455532033676,11.987359661284934
101,nc,tnc,1,7.211102550927978,3.986586302851176
102,nc,nsc,1,6.324555320336759,7.58946638440411
103,nc,npc,1,6.324555320336759,5.248137954927735
104,nc,tnsc,2,7.7678289356323695,5.039541235028691
105,nc,tnpc,2,9.76782893563237,4.2999969878134925
106,nc,nspc,2,8.32455532033676,7.565107049751749
107,sp,tsp,1,7.211102550927978,3.986586302851176
108,sp,nsp,1,7.211102550927978,4.400492183118507
109,sp,spc,1,6.324555320336759,7.58946638440411
110,sp,tnsp,2,7.211102550927978,2.8213104515093725
111,sp,tspc,2,9.76782893563237,5.91615954892993
112,sp,nspc,2,9.76782893563237,6.630248102811382
113,sc,tsc,1,7.211102550927978,3.986586302851176
114,sc,nsc,1,7.211102550927978,4.400492183118507
115,sc,spc,1,6.324555320336759,5.248137954927735
116,sc,tnsc,2,7.211102550927978,2.8213104515093725
117,sc,tspc,2,9.76782893563237,4.2999969878134925
118,sc,nspc,2,9.76782893563237,4.710424781646018
119,pc,tpc,1,7.211102550927978,3.986586302851176
120,pc,npc,1,7.211102550927978,4.400492183118507
121,pc,spc,1,6.324555320336759,7.58946638440411
122,pc,tnpc,2,7.211102550927978,2.8213104515093725
123,pc,tspc,2,7.7678289356323695,5.039541235028691
124,pc,nspc,2,7.7678289356323695,5.583493125008668
125,tns,tnsp,1,6.324555320336759,5.248137954927735
