fitted_on_ts_all,fitted_on_all_all,ID,fitted_on_cooking_all
1,1,a1,2
4,3,a3,2
3,3,a5,3
8,8,a11,8
2,0,a13,1
2,1,a16,1
2,3,a19,2
3,1,a22,1
4,5,a26,4
2,3,a29,3
5,3,a31,3
1,1,a35,2
2,3,a37,2
2,1,a39,1
1,2,a40,1
1,1,a43,1
3,4,a45,3
0,0,a47,0
5,4,a51,5
4,4,a55,3
4,3,a56,1
0,1,a59,1
7,6,a60,6
9,10,a61,9
2,2,a69,1
2,2,a73,2
3,4,a76,4
5,7,a77,4
2,2,a80,2
1,1,a85,2
4,3,a87,3
6,5,a89,5
5,6,a93,5
4,5,a99,4
2,1,a100,1
4,2,a102,2
5,6,a106,6
1,1,a108,2
4,1,a109,2
0,0,a114,0
1,2,a116,1
2,2,a118,2
6,6,a120,6
1,2,a128,0
3,4,a131,3
1,1,a137,1
0,0,a142,0
2,1,a149,2
2,1,a152,2
1,1,a153,2
2,2,a156,1
3,1,a158,1
5,6,a161,4
3,4,a164,3
2,1,a172,1
4,2,a174,2
3,3,a177,4
1,4,a178,4
4,3,a180,3
2,3,a185,3
1,1,a187,1
6,4,a191,5
0,0,a195,0
2,2,a198,2
3,2,a201,0
1,0,a205,1
4,4,a209,4
10,9,a212,6
2,2,a215,3
3,2,a218,3
3,3,a220,2
1,1,a222,1
6,7,a223,5
3,4,a226,1
3,1,a229,1
5,5,a231,6
2,2,a233,2
1,0,a235,0
4,3,a239,5
1,1,a240,1
1,0,T1,0
1,1,T14,1
1,0,T16,0
2,1,T18,1
0,0,E01_01,0
3,2,E01_03,2
3,3,E01_05,3
1,2,E01_09,2
0,0,E10_01,1
1,1,E12_01,1
2,1,E12_06,3
4,5,E21_01,6
1,0,E21_03,3
3,2,E21_04,2
2,2,E22_12,2
5,5,E22_16,5
1,1,E24_02,2
0,1,E24_04,1
2,3,E24_05,3
0,2,E26_11,2
0,0,E01_103,0
2,1,E01_12,1
1,1,E01_14,2
1,2,E02_128,3
2,0,E22_01,1
1,1,E22_104,2
2,1,E22_117,3
