ID,sequence,coordinates,start_coordinates,strong_k,mid_k,food_k,containment,span,error
T1,tnpsc,"c: (1,4,4);n: (1,1,2);p: (1,4,4);s: (1,2,2);t: (1,1,2);start: (2,1.5,2);table: (4,3,2)","[2,1.5,2],[4,3,2],[4,3,2],[4,3,2],[4,3,2]",t,"p,n",0,"p,c,s","[3,3,2]",0.666
T14,tnpcs,"c: (1,4,4);n: (1,1,2);p: (1,4,4);s: (1,2,2);t: (1,1,2);start: (2,2,2);table: (4,3,2)","[2,1.5,2],[4,1,2],[4,1,2],[4,1,2],[4,1,2]",t,"p,n",0,"p,c,s","[3,3,2]",0.666
T16,tnpsc,"c: (1,4,4);n: (1,1,2);p: (1,4,4);s: (1,2,2);t: (1,1,2);start: (2,2,2);table: (4,3,2)","[2,1.5,2],[4,1,2],[4,1,2],[4,1,2],[4,1,2]",t,"p,n",0,"p,c,s","[3,3,2]",0.666
T18,tnspc,"c: (1,4,4);n: (1,1,2);p: (1,4,4);s: (1,2,2);t: (1,1,2);start: (2,2,2);table: (4,3,2)","[2,1.5,2],[4,1,2],[4,1,2],[4,1,2],[4,1,2]",t,"p,n",0,"p,c,s","[3,3,2]",0.666
E01_01,pms,"p: (4,1,3);m: (4,3,2);s: (4,3,2);start: (3,3,1);table: (2,2,2)","[3,3,1],[2,2,2],[3,0,2]",m,p,0,"m,s","[2,3,2]",0.44
E01_03,rhcse,"r: (0,5,2);h: (4,4,1);c: (2,0,0);s: (4,3,2);e: (4,1,1);start: (4,5,2);table: (2,2,2)","[4,5,2],[2,2,2],[2,2,2],[0,5,2],[2,2,2]",h,c,0,"r,c,s,e","[4,5,2]",0.666
E01_05,pbhs,"p: (4,1,2);b: (4,1,2);h: (4,3,1);s: (4,3,2);start: (2,0,0);table: (2,2,2)","[2,0,0],[3,4,2],[3,3,1],[2,2,2]",h,p,0,"b,s","[2,4,2]",0.605
E01_09,hscp,"p: (4,1,2);c: (0,5,2);h: (4,3,1);s: (4,3,2);start: (2,0,0);table: (2,2,2)","[0,5,2],[2,1,2],[2,1,2],[3,2,0]",h,0,p,"s,c","[4,5,2]",0.605
E10_01,pbs,"p: (2,3,2);b: (2,2,2);s: (1,3,2);start: (2,3,2);table: (1,1,2)","[2,3,2],[2,2,2],[1,3,2]",0,p,0,s,"[1,2,0]",0.44
E12_01,pgs,"p: (2,3,2);g: (2,2,2);s: (2,3,2);start: (0,3,0);table: (2,0,2)","[0,3,0],[2,3,2],[2,2,2]",0,p,0,"g,s","[2,3,2]",0.44
