ID,sequence,coordinates,start_coordinates,set_0,set_1,set_2,set_3,set_4,set_5,set_6,set_7,set_8,set_9,containment,strong_k,mid_k,food_k
k01,"set_0,silverware_3,set_2,set_3,set_4,set_5","silverware_1: (4.0,3.0,2.0);plate_1: (4.0,3.0,2.0);dish_1: (4.0,3.0,2.0);glass_1: (4.0,3.0,2.0);bowl_1: (5.0,3.0,2.0);silverware_2: (4.0,3.0,2.0);plate_2: (4.0,3.0,2.0);dish_2: (4.0,3.0,2.0);glass_2: (4.0,3.0,2.0);bowl_2: (4.0,3.0,2.0);silverware_3: (4.0,2.0,2.0);plate_3: (4.0,2.0,2.0);dish_3: (4.0,2.0,2.0);glass_3: (4.0,2.0,2.0);bowl_3: (4.0,2.0,2.0);set_0: (4.0,3.0,2.0);set_2: (4.0,2.6666666666666665,2.0);set_3: (4.333333333333333,2.6666666666666665,2.0);set_4: (4.0,2.6666666666666665,2.0);set_5: (4.0,2.6666666666666665,2.0)","[2.0,4.0,2.0],[2.0,4.0,2.0],[2.0,4.0,2.0],[2.0,4.0,2.0],[2.0,4.0,2.0],[2.0,4.0,2.0],[2.0,4.0,2.0]","silverware_1,silverware_2",,"glass_1,glass_2,glass_3","bowl_1,bowl_2,bowl_3","dish_1,dish_2,dish_3","plate_1,plate_3,plate_2",,,,,0,"silverware_1,silverware_2,silverware_3",,
k04,"set_0,set_1,set_2,set_3,set_4","silverware_1: (4.5,4.2,2.0);plate_1: (4.5,4.2,2.0);dish_1: (5.5,4.2,2.0);glass_1: (3.2,4.5,2.0);bowl_1: (3.9,4.5,2.0);silverware_2: (3.2,3.0,2.0);plate_2: (4.5,3.0,2.0);dish_2: (4.7,2.7,2.0);glass_2: (4.7,3.0,2.0);bowl_2: (2.1,4.1,2.0);silverware_3: (5.2,2.0,2.0);plate_3: (4.1,2.1,2.0);dish_3: (5.2,2.0,2.0);glass_3: (4.5,2.1,2.0);bowl_3: (4.8,3.9,2.0);set_0: (4.033333333333332,3.0,2.0);set_1: (3.925,3.6999999999999997,2.0);set_2: (4.133333333333334,3.1999999999999997,2.0);set_3: (5.133333333333334,2.966666666666667,2.0);set_4: (4.5,3.6,2.0)","[3.5,3.0,2.0],[3.5,3.0,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0]","plate_3,bowl_3,silverware_2","silverware_1,silverware_3,bowl_1,bowl_2","glass_1,glass_3,glass_2","dish_2,dish_3,dish_1","plate_1,plate_2",,,,,,0,"silverware_1,silverware_2,silverware_3",,
k06,"set_0,set_1,set_2,set_3,set_4","silverware_1: (5.0,3.5,2.0);plate_1: (5.0,3.5,2.0);dish_1: (5.0,3.2,2.0);glass_1: (5.0,3.4,2.0);bowl_1: (5.1,3.4,2.0);silverware_2: (4.5,3.3,2.0);plate_2: (4.5,3.3,2.0);dish_2: (4.7,3.0,2.0);glass_2: (4.7,3.2,2.0);bowl_2: (4.7,3.7,2.0);silverware_3: (4.5,2.2,2.0);plate_3: (4.5,2.2,2.0);dish_3: (4.8,2.0,2.0);glass_3: (4.9,2.1,2.0);bowl_3: (4.5,2.2,2.0);set_0: (4.666666666666667,3.0,2.0);set_1: (4.666666666666667,3.0,2.0);set_2: (4.833333333333333,2.733333333333333,2.0);set_3: (4.766666666666667,3.1,2.0);set_4: (4.866666666666667,2.9000000000000004,2.0)","[2.5,4.5,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0]","silverware_2,silverware_1,silverware_3","plate_3,plate_2,plate_1","dish_3,dish_1,dish_2","bowl_2,bowl_3,bowl_1","glass_3,glass_2,glass_1",,,,,,0,"silverware_1,silverware_2,silverware_3",,
k08,"set_0,set_1,set_2,set_3,plate_1,set_5,set_6,glass_3","silverware_1: (5.0,3.7,2.0);plate_1: (5.0,3.7,2.0);dish_1: (5.4,3.5,2.0);glass_1: (3.6,4.9,2.0);bowl_1: (5.5,3.7,2.0);silverware_2: (4.5,3.1,2.0);plate_2: (4.5,3.1,2.0);dish_2: (5.0,3.1,2.0);glass_2: (3.0,4.7,2.0);bowl_2: (5.0,2.9,2.0);silverware_3: (4.5,2.4,2.0);plate_3: (4.5,2.4,2.0);dish_3: (5.0,2.4,2.0);glass_3: (4.7,2.1,2.0);bowl_3: (5.0,2.9,2.0);set_0: (4.5,2.4,2.0);set_1: (4.5,3.1,2.0);set_2: (5.0,2.75,2.0);set_3: (5.0,3.7,2.0);set_5: (5.166666666666667,3.1666666666666665,2.0);set_6: (3.3,4.800000000000001,2.0)","[2.5,4.5,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0]","silverware_3,plate_3","silverware_2,plate_2","dish_3,dish_2","silverware_1,plate_1",,"bowl_1,bowl_3,bowl_2","glass_1,glass_2",,,,0,"silverware_1,silverware_2,silverware_3",,
k11,"set_0,silverware_3,silverware_3,set_3,set_4,set_5,set_6,set_7,set_8","silverware_1: (5.0,3.6,2.0);plate_1: (5.0,3.6,2.0);dish_1: (5.5,3.6,2.0);glass_1: (5.0,3.7,2.0);bowl_1: (5.1,3.7,2.0);silverware_2: (4.5,3.2,2.0);plate_2: (4.5,3.2,2.0);dish_2: (4.5,3.7,2.0);glass_2: (4.6,3.0,2.0);bowl_2: (4.9,3.7,2.0);silverware_3: (4.5,2.4,2.0);plate_3: (4.5,2.4,2.0);dish_3: (5.0,2.1,2.0);glass_3: (4.7,2.2,2.0);bowl_3: (4.5,2.4,2.0);set_0: (4.75,3.4000000000000004,2.0);set_3: (4.75,3.4000000000000004,2.0);set_4: (5.0,3.6500000000000004,2.0);set_5: (4.75,2.25,2.0);set_6: (4.8,3.35,2.0);set_7: (5.0,3.7,2.0);set_8: (4.85,2.1500000000000004,2.0)","[2.5,4.5,2.0],[2.5,4.5,2.0],[2.4,4.5,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0],[3.9,4.1,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0]","silverware_1,silverware_2",,,"plate_2,plate_1","dish_2,dish_1","bowl_3,dish_3","glass_1,glass_2","bowl_2,bowl_1","glass_3,dish_3",,0,"silverware_1,silverware_2,silverware_3",,
k12,"set_0,silverware_2,set_2,set_3,silverware_1,set_5,set_6,set_7","silverware_1: (5.5,3.7,2.0);plate_1: (5.5,3.7,2.0);dish_1: (4.9,3.5,2.0);glass_1: (5.4,3.5,2.0);bowl_1: (5.5,3.4,2.0);silverware_2: (4.5,3.5,2.0);plate_2: (4.5,3.5,2.0);dish_2: (4.5,3.0,2.0);glass_2: (4.6,3.0,2.0);bowl_2: (4.6,3.2,2.0);silverware_3: (4.5,2.4,2.0);plate_3: (4.5,2.4,2.0);dish_3: (5.0,2.4,2.0);glass_3: (4.7,2.3,2.0);bowl_3: (5.0,2.6,2.0);set_0: (5.5,3.7,2.0);set_2: (4.5,3.25,2.0);set_3: (4.65,2.65,2.0);set_5: (5.0,3.466666666666667,2.0);set_6: (5.45,3.45,2.0);set_7: (5.0,2.5,2.0)","[3.0,3.9,2.0],[3.0,3.9,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0]","silverware_1,plate_1",,"plate_2,dish_2","glass_3,glass_2",,"plate_1,dish_1,bowl_2","bowl_1,glass_1","bowl_3,dish_3",,,0,"silverware_1,silverware_2,silverware_3",,
k14,"set_0,set_1,bowl_1,silverware_1,set_4,dish_1,dish_2,set_7,set_8,bowl_3","silverware_1: (5.0,3.7,2.0);plate_1: (5.0,3.7,2.0);dish_1: (5.3,3.5,2.0);glass_1: (4.8,3.7,2.0);bowl_1: (4.9,3.5,2.0);silverware_2: (4.2,3.7,2.0);plate_2: (4.2,3.7,2.0);dish_2: (5.0,3.1,2.0);glass_2: (4.6,3.2,2.0);bowl_2: (4.8,3.2,2.0);silverware_3: (4.5,2.1,2.0);plate_3: (4.2,2.1,2.0);dish_3: (1.5,4.5,2.0);glass_3: (4.5,2.1,2.0);bowl_3: (4.9,2.2,2.0);set_0: (4.2,3.7,2.0);set_1: (4.8,3.45,2.0);set_4: (5.0,3.7,2.0);set_7: (4.55,2.6500000000000004,2.0);set_8: (4.35,2.1,2.0)","[3.7,4.2,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0]","silverware_2,plate_2","bowl_2,glass_1",,,"silverware_1,plate_1",,,"glass_2,glass_3","silverware_3,plate_3",,0,"silverware_1,silverware_2,silverware_3",,
k16,"set_0,set_1,silverware_3,silverware_2,silverware_1,silverware_2,set_6,set_7,set_8","silverware_1: (5.0,3.8,2.0);plate_1: (5.0,3.8,2.0);dish_1: (5.5,3.2,2.0);glass_1: (4.9,3.5,2.0);bowl_1: (5.1,3.5,2.0);silverware_2: (4.3,3.5,2.0);plate_2: (4.3,3.5,2.0);dish_2: (5.0,4.1,2.0);glass_2: (4.4,3.4,2.0);bowl_2: (5.0,4.1,2.0);silverware_3: (4.3,2.1,2.0);plate_3: (4.3,2.1,2.0);dish_3: (5.0,2.1,2.0);glass_3: (4.4,2.0,2.0);bowl_3: (4.3,2.1,2.0);set_0: (4.65,3.6500000000000004,2.0);set_1: (4.475,2.1,2.0);set_6: (4.8,3.233333333333333,2.0);set_7: (4.566666666666667,2.966666666666667,2.0);set_8: (4.9,3.35,2.0)","[2.5,4.5,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0]","silverware_2,silverware_1,plate_2,plate_1","silverware_3,bowl_3,plate_3,dish_3",,,,,"bowl_1,bowl_2,bowl_3","glass_2,glass_3,glass_1","dish_1,plate_2",,0,"silverware_1,silverware_2,silverware_3",,
k17,"bowl_1,set_1,set_2,set_3,set_4,silverware_3,set_6,set_7","silverware_1: (5.5,3.7,2.0);plate_1: (4.8,3.8,2.0);dish_1: (5.5,3.7,2.0);glass_1: (4.7,3.6,2.0);bowl_1: (4.8,3.8,2.0);silverware_2: (4.3,3.2,2.0);plate_2: (4.3,3.2,2.0);dish_2: (5.1,2.6,2.0);glass_2: (4.6,3.1,2.0);bowl_2: (4.3,3.2,2.0);silverware_3: (4.3,2.2,2.0);plate_3: (4.3,2.2,2.0);dish_3: (5.3,2.2,2.0);glass_3: (4.7,2.0,2.0);bowl_3: (4.3,2.2,2.0);set_1: (4.3,2.7,2.0);set_2: (4.466666666666666,3.4,2.0);set_3: (4.65,3.35,2.0);set_4: (5.5,3.7,2.0);set_6: (4.5,2.1,2.0);set_7: (5.199999999999999,2.4000000000000004,2.0)","[2.5,4.5,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0]",,"bowl_2,bowl_3","silverware_2,plate_1,plate_2","glass_2,glass_1","dish_1,silverware_1",,"plate_3,glass_3","dish_3,dish_2",,,0,"silverware_1,silverware_2,silverware_3",,
k18,"set_0,set_1,set_2,set_3,set_4,set_5","silverware_1: (5.0,3.5,2.0);plate_1: (5.0,3.5,2.0);dish_1: (5.6,3.7,2.0);glass_1: (5.3,3.5,2.0);bowl_1: (4.8,3.5,2.0);silverware_2: (4.5,3.5,2.0);plate_2: (4.5,3.5,2.0);dish_2: (4.1,3.2,2.0);glass_2: (4.8,3.2,2.0);bowl_2: (4.7,3.2,2.0);silverware_3: (5.0,2.1,2.0);plate_3: (4.6,2.5,2.0);dish_3: (5.0,2.1,2.0);glass_3: (4.7,2.9,2.0);bowl_3: (4.6,2.3,2.0);set_0: (4.720000000000001,3.3,2.0);set_1: (4.1,3.2,2.0);set_2: (4.775,2.7750000000000004,2.0);set_3: (4.933333333333334,3.1999999999999997,2.0);set_4: (4.8,2.2,2.0);set_5: (4.75,3.5,2.0)","[2.5,4.5,2.0],[3.9,4.1,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0],[2.5,4.5,2.0]","silverware_2,silverware_1,plate_1,plate_2,plate_3","dish_2,dish_2","silverware_3,bowl_3,bowl_2,bowl_1","glass_2,glass_3,glass_1","bowl_3,silverware_3","silverware_2,silverware_1",,,,,0,"silverware_1,silverware_2,silverware_3",,
