median,ID
0.0,s13-d21
2.0,s13-d25
1.0,s13-d28
3.0,s13-d31
2.0,s13-d40
2.0,s13-d45
1.0,s13-d48
0.0,s13-d52
3.0,s13-d54
1.0,s14-d26
2.0,s14-d27
1.0,s14-d35
2.0,s14-d43
2.0,s14-d46
3.0,s14-d51
9.0,s15-d26
3.0,s15-d35
5.0,s15-d70
6.0,s17-d42
2.0,s17-d48
1.0,s17-d53
1.0,s17-d55
8.0,s17-d69
3.0,s21-d21
3.0,s21-d23
1.0,s21-d28
1.0,s21-d35
1.0,s21-d39
2.0,s21-d40
3.0,s21-d42
2.0,s21-d43
0.0,s21-d45
2.0,s21-d55
1.0,s22-d25
1.0,s22-d26
2.0,s22-d29
1.0,s22-d34
2.0,s22-d35
2.0,s22-d43
2.0,s22-d46
1.0,s22-d48
2.0,s22-d53
2.0,s22-d55
2.0,s23-d21
1.0,s23-d31
0.0,s23-d34
2.0,s23-d39
0.0,s23-d42
1.0,s23-d45
2.0,s23-d46
1.0,s23-d51
1.5,s23-d54
2.0,s24-d23
1.0,s24-d28
1.0,s24-d34
2.0,s24-d40
2.0,s24-d41
2.0,s24-d48
0.0,s24-d53
2.0,s25-d23
1.0,s25-d35
1.0,s25-d51
1.0,s25-d52
6.0,s25-d69
2.0,s26-d23
12.0,s26-d26
6.0,s26-d69
4.0,s26-d70
1.0,s27-d21
1.0,s27-d29
1.5,s27-d34
2.0,s27-d45
0.0,s27-d50
5.0,s27-d54
4.0,s27-d70
0.0,s28-d25
4.0,s28-d27
11.0,s28-d39
3.0,s28-d46
8.0,s28-d51
0.0,s29-d31
4.0,s29-d39
7.0,s29-d42
1.0,s29-d50
1.0,s29-d52
5.0,s30-d26
2.0,s30-d29
2.0,s30-d40
2.0,s30-d41
5.5,s30-d43
3.0,s30-d52
4.0,s30-d53
2.0,s31-d25
2.0,s31-d28
2.0,s31-d31
6.0,s32-d27
2.0,s32-d52
2.0,s32-d55
6.0,s32-d69
5.0,s32-d70
4.0,s33-d27
2.0,s33-d45
3.0,s33-d50
3.0,s33-d54
5.0,s34-d28
6.0,s34-d34
4.0,s34-d41
7.0,s34-d69
3.0,s35-d40
4.0,s35-d41
2.0,s35-d48
3.0,s35-d55
8.0,s36-d23
2.5,s36-d27
2.0,s36-d31
7.0,s36-d42
7.0,s36-d43
1.0,s36-d50
2.0,s36-d70
3.0,s37-d21
2.0,s37-d25
1.0,s37-d29
4.0,s37-d39
2.0,s37-d46
