ID,sequence,coordinates,start_coordinates,strong_k,mid_k,food_k,containment,error
s13-d21,"cutting_board,knife,cucumber,plate","cutting_board: (0,1.5,1);knife: (0,1.5,2);cucumber: (1.5,4,3);plate: (2,3,2)","[1,0,2],[0,1.5,2],[0,1.5,2],[0,1.5,2]",cutting_board,,plate,"cutting_board,knife,cucumber,plate",
s13-d25,"bread,plate,knife,cutting_board","bread: (2,0,2);plate: (2,3,2);knife: (0,1.5,2);cutting_board: (0,1.5,1)","[1,0,2],[0,1.5,2],[0,1.5,2],[0,1.5,2]",cutting_board,,plate,"bread,plate,knife,cutting_board",
s13-d28,"cutting_board,knife,orange,plate","cutting_board: (0,1.5,1);knife: (0,1.5,2);orange: (2,0,3);plate: (2,3,2)","[1,0,2],[0,1.5,2],[0,1.5,2],[0,1.5,2]",cutting_board,,plate,"cutting_board,knife,orange,plate",
s13-d31,"garlic_press,plate,garlic,knife,spoon_small","garlic_press: (0,1.5,2);plate: (2,3,2);garlic: (2,2,2);knife: (0,1.5,2);spoon_small: (0,1.5,2)","[1,0,2],[0,1.5,2],[0,1.5,2],[0,1.5,2],[0,1.5,2]",cutting_board,,plate,"garlic_press,plate,garlic,knife,spoon_small",
s13-d40,"squeezer,plate,lime,knife","squeezer: (0,1.5,1);plate: (2,2,3);lime: (1.5,4,3);knife: (0,1.5,2)","[1,0,2],[0,1.5,2],[0,1.5,2],[0,1.5,2]",cutting_board,,plate,"squeezer,plate,lime,knife",
s13-d45,"cutting_board,knife,plate,pepper","cutting_board: (0,1.5,1);knife: (0,1.5,2);plate: (2,3,2);pepper: (2,0,3)","[1,0,2],[0,1.5,2],[0,1.5,2],[0,1.5,2]",cutting_board,,plate,"cutting_board,knife,plate,pepper",
s13-d48,"cutting_board,knife,chilli,plate","cutting_board: (0,1.5,1);knife: (0,1.5,2);chilli: (2,0,2.5);plate: (2,3,2)","[1,0,2],[0,1.5,2],[0,1.5,2],[0,1.5,2]",cutting_board,,plate,"cutting_board,knife,chilli,plate",
s13-d52,"cutting_board,knife,kiwi,plate","cutting_board: (0,1.5,1);knife: (0,1.5,2);kiwi: (1.5,4,3);plate: (2,3,2)","[1,0,2],[0,1.5,2],[0,1.5,2],[0,1.5,2]",cutting_board,,plate,"cutting_board,knife,kiwi,plate",
s13-d54,"cutting_board,bowl,plate,mango,knife,peeler","cutting_board: (0,1.5,1);bowl: (2,2,3);plate: (2,3,2);mango: (1.5,4,2);knife: (0,1.5,2);peeler: (0,1.5,2)","[1,0,2],[0,1.5,2],[0,1.5,2],[0,1.5,2],[0,1.5,2],[0,1.5,2]",cutting_board,,plate,"cutting_board,bowl,plate,mango,knife,peeler",
s14-d26,"cauliflower,knife,colander,bowl","cauliflower: (2,0,2);knife: (0,1.5,2);colander: (0,1.5,1);bowl: (0,1.5,1)","[1,0,2],[0,1.5,2],[0,1.5,2],[0,1.5,2]",cutting_board,,plate,"cauliflower,knife,colander,bowl",
s14-d27,"onion,cutting_board,knife,bowl","onion: (2,2,2);cutting_board: (0,1.5,1);knife: (0,1.5,2);bowl: (0,1.5,1)","[1,0,2],[0,1.5,2],[0,1.5,2],[0,1.5,2]",cutting_board,,plate,"onion,cutting_board,knife,bowl",
s14-d35,"plum,knife,plate","plum: (1.5,4,2.5);knife: (0,1.5,2);plate: (2,3,2)","[1,0,2],[0,1.5,2],[0,1.5,2]",cutting_board,,plate,"plum,knife,plate",
s14-d43,"potato,knife,peeler,bowl","potato: (2,2,2);knife: (0,1.5,2);peeler: (0,1.5,2);bowl: (0,1.5,1)","[1,0,2],[0,1.5,2],[0,1.5,2],[0,1.5,2]",cutting_board,,plate,"potato,knife,peeler,bowl",
s14-d46,"pineapple,knife,cutting_board,bowl,plastic_box","pineapple: (2,0,2.5);knife: (0,1.5,2);cutting_board: (0,1.5,1);bowl: (0,1.5,1);plastic_box: (0,1.5,1)","[1,0,2],[0,1.5,2],[0,1.5,2],[0,1.5,2],[0,1.5,2]",cutting_board,,plate,"pineapple,knife,cutting_board,bowl,plastic_box",
s14-d51,"beans,knife,plastic_box,cutting_board,bowl","beans: (1.5,4,3);knife: (0,1.5,2);plastic_box: (0,1.5,1);cutting_board: (0,1.5,1);bowl: (0,1.5,1)","[1,0,2],[0,1.5,2],[0,1.5,2],[0,1.5,2],[0,1.5,2]",cutting_board,,plate,"beans,knife,plastic_box,cutting_board,bowl",
s15-d26,"cauliflower,knife,cutting_board,bowl,pan,bottle,spice_shaker,fork,spatula,lid,plate,spoon","cauliflower: (1.5,4,4);knife: (0,1.5,2);cutting_board: (0,1.5,1);bowl: (0,1.5,1);pan: (0,0,1);bottle: (1.5,4,3);spice_shaker: (1,4,2);fork: (0,1.5,2);spatula: (0,1.5,2);lid: (0,0,1);plate: (2,3,2);spoon: (0,1.5,2)","[1,0,2],[0,1.5,2],[0,1.5,2],[0,1.5,2],[0,1.5,2],[0,1.5,2],[0,1.5,2],[0,1.5,2],[0,1.5,2],[0,1.5,2],[0,1.5,2],[0,1.5,2]",cutting_board,,plate,"cauliflower,knife,cutting_board,bowl,pan,bottle,fork,spatula,lid,plate,spoon",
s15-d35,"plum,bowl,cutting_board,knife","plum: (1.5,4,2.5);bowl: (2,0,3);cutting_board: (0,1.5,1);knife: (0,1.5,2)","[1,0,2],[0,1.5,2],[0,1.5,2],[0,1.5,2]",cutting_board,,plate,"plum,bowl,cutting_board,knife",
s15-d70,"orange,squeezer,knife,cutting_board,glass,spoon,fork","orange: (1.5,4,2.5);squeezer: (0,1.5,1);knife: (0,1.5,2);cutting_board: (0,1.5,1);glass: (2,3,3);spoon: (0,1.5,2);fork: (0,1.5,2)","[1,0,2],[0,1.5,2],[0,1.5,2],[0,1.5,2],[0,1.5,2],[0,1.5,2],[0,1.5,2]",cutting_board,,plate,"orange,squeezer,knife,cuttingboard,glass,spoon,fork",
s17-d42,"broccoli,pot,cutting_board,knife,spice_shaker,jar,plate,spoon","broccoli: (1.5,4,3);pot: (0,0,1);cutting_board: (0,1.5,1);knife: (0,1.5,2);spice_shaker: (1,4,2);jar: (2,2,3);plate: (2,3,2);spoon: (0,1.5,2)","[1,0,2],[0,1.5,2],[0,1.5,2],[0,1.5,2],[0,1.5,2],[0,1.5,2],[0,1.5,2],[0,1.5,2],[0,1.5,2],[0,1.5,2],[0,1.5,2]",cutting_board,,plate,"brocolli,pot,cutting_board,knife,jar,plate,spoon",
s17-d48,"chilli,cutting_board,knife","chilli: (1.5,4,3);cutting_board: (0,1.5,1);knife: (0,1.5,2)","[1,0,2],[0,1.5,2],[0,1.5,2]",cutting_board,,plate,"chilli,cutting_board,knife",
s17-d53,"cutting_board,avocado,peeler,knife","cutting_board: (0,1.5,1);avocado: (1.5,4,3);peeler: (0,1.5,2);knife: (0,1.5,2)","[1,0,2],[0,1.5,2],[0,1.5,2],[0,1.5,2]",cutting_board,,plate,"cutting_board,avocado,peeler,knife",
s17-d55,"cutting_board,fig,knife,plate","cutting_board: (0,1.5,1);fig: (1.5,4,3);knife: (0,1.5,2);plate: (2,3,2)","[1,0,2],[0,1.5,2],[0,1.5,2],[0,1.5,2]",cutting_board,,plate,"cutting_board,fig,knife,plate",
s17-d69,"pan,eggs,cup,fork,spice_shaker,oil,spatula,bowl,plate,fork,knife","pan: (0,0,1);eggs: (1.5,4,4);cup: (2,3,2.5);fork: (0,1.5,2);spice_shaker: (1,4,2);oil: (2,2,2.5);spatula: (0,1.5,2);bowl: (2,0,3);plate: (2,3,2);fork: (0,1.5,2);knife: (0,1.5,2)","[1,0,2],[0,1.5,2],[0,1.5,2],[0,1.5,2],[0,1.5,2],[0,1.5,2],[0,1.5,2],[0,1.5,2],[0,1.5,2],[0,1.5,2],[0,1.5,2]",cutting_board,,plate,"pan,eggs,cup,fork,oil,spatula,bowl,plate,fork,knife",
s21-d21,"cucumber,cutting_board,knife,bowl,peeler","cucumber: (1.5,4,3);cutting_board: (0,1.5,1);knife: (0,1.5,2);bowl: (2,2,2.5);peeler: (0,1.5,2)","[1,0,2],[0,1.5,2],[0,1.5,2],[0,1.5,2],[0,1.5,2]",cutting_board,,plate,"cucumber,cutting_board,knife,bowl,peeler",
