Unnamed: 0,narration_id,participant_id,video_id,narration_timestamp,start_timestamp,stop_timestamp,start_frame,stop_frame,narration,verb,verb_class,noun,noun_class,all_nouns,all_noun_classes,grid_location,prior_grid,lhand_vposition,lhand_hposition,rhand_vposition,rhand_hposition,hand_in_use,Unnamed: 22
318,P01_105_0,P01,P01_105,00:01.1,00:01.0,00:02.2,51,109,pick up container,pick-up,0,container,21,['container'],[21],,,,,,,,
319,P01_105_1,P01,P01_105,00:02.6,00:02.3,00:03.5,114,175,open cupboard,open,3,cupboard,3,['cupboard'],[3],,,,,,,,
430,P01_105_2,P01,P01_105,00:04.6,00:03.8,00:05.0,190,248,pick up container,pick-up,0,container,21,['container'],[21],,,,,,,,
541,P01_105_3,P01,P01_105,00:05.1,00:05.2,00:05.7,258,283,put down containers,put-down,1,container,21,['container'],[21],,,,,,,,
652,P01_105_4,P01,P01_105,00:06.4,00:05.8,00:07.2,288,358,open container,open,3,container,21,['container'],[21],,,,,,,,
763,P01_105_5,P01,P01_105,00:07.4,00:07.1,00:07.7,355,386,put down lid,put-down,1,lid,6,['lid'],[6],,,,,,,,
874,P01_105_6,P01,P01_105,00:08.1,00:07.8,00:09.4,391,468,open container,open,3,container,21,['container'],[21],,,,,,,,
985,P01_105_7,P01,P01_105,00:09.6,00:09.5,00:10.0,474,500,put down lid,put-down,1,lid,6,['lid'],[6],,,,,,,,
1086,P01_105_8,P01,P01_105,00:10.1,00:10.1,00:11.5,505,576,pick up container,pick-up,0,container,21,['container'],[21],,,,,,,,
1097,P01_105_9,P01,P01_105,00:10.9,00:10.2,00:11.4,508,568,pick up lid,pick-up,0,lid,6,['lid'],[6],,,,,,,,
331,P01_105_11,P01,P01_105,00:11.9,00:11.0,00:12.7,550,633,put down lid,put-down,1,lid,6,['lid'],[6],,,,,,,,
320,P01_105_10,P01,P01_105,00:11.4,00:11.1,00:11.6,553,581,put container into container,put-into,5,container,21,"['container', 'container']","[21, 21]",,,,,,,,
342,P01_105_12,P01,P01_105,00:13.1,00:12.5,00:14.3,624,716,pick up container,pick-up,0,container,21,['container'],[21],,,,,,,,
353,P01_105_13,P01,P01_105,00:14.4,00:12.8,00:14.8,637,738,take container from container,take-from,0,container,21,"['container', 'container']","[21, 21]",,,,,,,,
364,P01_105_14,P01,P01_105,00:16.1,00:15.2,00:16.5,760,825,put down container,put-down,1,container,21,['container'],[21],,,,,,,,
375,P01_105_15,P01,P01_105,00:17.1,00:16.0,00:18.6,800,930,put containers into container,put-into,5,container,21,"['container', 'container']","[21, 21]",,,,,,,,
386,P01_105_16,P01,P01_105,00:19.4,00:19.3,00:22.1,962,1102,take lid,take,0,lid,6,['lid'],[6],,,,,,,,
397,P01_105_17,P01,P01_105,00:22.1,00:22.1,00:22.7,1107,1132,put container into container,put-into,5,container,21,"['container', 'container']","[21, 21]",,,,,,,,
408,P01_105_18,P01,P01_105,00:24.6,00:24.4,00:26.5,1220,1322,put lid into cupboard,put-into,5,lid,6,"['lid', 'cupboard']","[6, 3]",,,,,,,,
