ID,sequence
k01,"besteck_1,besteck_3,besteck_2,schale_2,glas_1,glas_2,glas_3,schale_1,schale_3,teller_tief_1,teller_tief_2,teller_tief_3,teller_flach_1,teller_flach_2,teller_flach_3"
k04,"besteck_2,besteck_3,teller_flach_3,schale_2,besteck_1,schale_1,schale_3,glas_1,glas_2,glas_3,teller_tief_1,teller_tief_2,teller_tief_3,teller_flach_1,teller_flach_2"
k06,"besteck_1,besteck_2,besteck_3,teller_flach_1,teller_flach_2,teller_flach_3,schale_3,teller_tief_1,teller_tief_2,teller_tief_3,schale_1,schale_2,schale_3,glas_1,glas_2,glas_3"
k08,"besteck_3,teller_flach_3,besteck_2,teller_flach_2,teller_tief_2,teller_tief_3,besteck_1,teller_flach_1,teller_tief_1,schale_1,schale_2,schale_3,glas_2,schale_1,schale_2,schale_2,glas_1,glas_2,glas_3"
k11,"besteck_1,besteck_2,besteck_3,besteck_3,teller_flach_1,teller_flach_2,teller_tief_1,teller_tief_2,teller_flach_3,schale_3,glas_1,glas_2,schale_1,schale_2,teller_tief_3,glas_3"
k12,"besteck_3,teller_flach_3,besteck_2,teller_tief_1,teller_flach_2,glas_2,glas_3,besteck_1,teller_tief_1,schale_2,schale_1,glas_1,teller_tief_3,schale_3"
k14,"besteck_2,teller_flach_2,schale_2,glas_1,schale_1,besteck_1,teller_flach_1,teller_tief_1,teller_tief_2,glas_2,glas_3,besteck_3,teller_flach_3,schale_3"
k16,"besteck_1,besteck_2,teller_flach_1,teller_flach_2,besteck_3,teller_tief_3,teller_flach_3,schale_3,besteck_1,besteck_2,besteck_2,besteck_3,schale_1,schale_2,schale_3,glas_1,glas_2,glas_3,teller_tief_1,teller_tief_2"
k17,"schale_1,schale_2,schale_3,besteck_2,teller_flach_1,teller_flach_2,glas_1,glas_2,besteck_1,teller_tief_1,besteck_3,teller_flach_3,glas_3,teller_tief_2,teller_tief_3"
k18,"teller_flach_1,teller_flach_2,teller_flach_3,teller_tief_1,teller_tief_2,besteck_3,teller_tief_3,schale_1,schale_2,besteck_2,besteck_3,glas_1,besteck_1,besteck_2"
k19,"besteck_1,teller_flach_1,teller_tief_1,schale_1,glas_1,teller_tief_2,besteck_2,besteck_3,teller_tief_3,teller_flach_2,teller_flach_3,schale_2,schale_3,glas_2,glas_3"
k20,"besteck_3,besteck_2,besteck_1,besteck_1,teller_tief_1,teller_tief_2,teller_tief_3,teller_flach_1,teller_flach_2,teller_flach_3,schale_1,schale_2,schale_3"
k21,"besteck_3,teller_tief_3,glas_3,schale_3,teller_tief_2,teller_flach_3,besteck_2,teller_flach_2,glas_2,schale_2,glas_1,teller_tief_1,schale_1,besteck_1,teller_flach_1"
k22,"besteck_1,besteck_3,glas_1,glas_2,glas_3,schale_1,schale_2,schale_3,teller_tief_2,teller_tief_3,teller_flach_2,teller_flach_3,teller_tief_1,teller_flach_1"
k23,"besteck_1,besteck_2,besteck_3,teller_flach_1,teller_flach_2,teller_flach_3,schale_1,schale_2,schale_3,glas_1,glas_2,teller_tief_1,teller_tief_2,teller_tief_3,glas_3"
k24,"besteck_1,besteck_2,besteck_3,teller_flach_2,teller_flach_3,teller_tief_2,teller_flach_1,teller_tief_1,teller_tief_3,schale_3,glas_3,glas_1,glas_2,schale_1,schale_2"
k25,"besteck_2,besteck_3,besteck_1,glas_1,glas_2,glas_3,schale_1,schale_2,schale_3,teller_tief_1,teller_flach_2,teller_tief_2,teller_flach_3,teller_tief_3,teller_flach_1"
